Rk,Date,Tm,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,HBP,SH,SF,ROE,GDP,BA,OBP,SLG,OPS
65,14-Jun,BOS,,CLE,L2-3,4,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0.278,0.366,0.429,0.794
66,15-Jun,BOS,,CLE,L2-3,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.278,0.366,0.429,0.794
67,16-Jun,BOS,,MIN,W1-0,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0.277,0.364,0.426,0.79
68,17-Jun,BOS,,MIN,W2-1,4,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0.278,0.362,0.425,0.787
69,18-Jun,BOS,,MIN,W2-1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.273,0.357,0.418,0.775
70,19-Jun,BOS,@,OAK,L2-4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.269,0.353,0.412,0.764
71,20-Jun,BOS,@,OAK,L3-4,5,4,1,0,0,0,0,0,1,3,0,0,0,0,0,0.265,0.35,0.405,0.755
72,22-Jun,BOS,@,OAK,W7-6,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.264,0.348,0.401,0.749
73,23-Jun,BOS,@,SEA,L3-12,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.26,0.343,0.396,0.739
74,24-Jun,BOS,@,SEA,L2-8,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.26,0.342,0.394,0.735
75,25-Jun,BOS,@,SEA,W5-4,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.256,0.338,0.388,0.725
76,27-Jun,BOS,@,NYY,L0-6,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0.254,0.334,0.384,0.718
77,28-Jun,BOS,@,NYY,W2-1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.251,0.331,0.38,0.711
78,30-Jun,BOS,,CHC,L0-2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0.328,0.376,0.704
79,1-Jul,BOS,,CHC,L1-2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.245,0.324,0.371,0.695
80,2-Jul,BOS,,CHC,L9-16,5,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0.242,0.322,0.366,0.688
81,Jul 5 (1),BOS,,BAL,W3-2,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0.238,0.319,0.361,0.68
82,6-Jul,BOS,,BAL,L6-7,5,5,1,2,0,0,0,1,0,0,0,0,0,0,1,0.241,0.32,0.362,0.681
83,7-Jul,BOS,,CHW,L0-4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.239,0.317,0.358,0.675
84,8-Jul,BOS,,CHW,L3-8,4,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0.239,0.316,0.357,0.673
85,9-Jul,BOS,,CHW,W5-4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.237,0.314,0.353,0.667
86,11-Jul,BOS,@,HOU,W8-3,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0.234,0.31,0.349,0.659
87,12-Jul,BOS,@,HOU,L2-3,4,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0.237,0.312,0.351,0.663
88,13-Jul,BOS,@,HOU,W11-0,5,3,2,0,0,0,0,1,1,0,0,0,1,1,1,0.235,0.311,0.348,0.658
89,18-Jul,BOS,,KCR,W5-4,4,3,2,1,0,0,1,2,1,0,0,0,0,1,0,0.236,0.313,0.356,0.669
90,19-Jul,BOS,,KCR,W2-1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.234,0.31,0.353,0.663
91,21-Jul,BOS,@,TOR,W14-1,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0.239,0.314,0.357,0.671
92,22-Jul,BOS,@,TOR,L3-7,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.236,0.311,0.353,0.663
93,23-Jul,BOS,@,TOR,L4-6,4,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0.239,0.313,0.357,0.67
94,24-Jul,BOS,@,TOR,L0-8,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0.237,0.31,0.354,0.665
95,25-Jul,BOS,@,TBR,L4-6,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.31,0.353,0.663
96,26-Jul,BOS,@,TBR,L0-3,4,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0.237,0.309,0.352,0.661
97,28-Jul,BOS,,TOR,L1-14,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.309,0.352,0.661
98,29-Jul,BOS,,TOR,L2-4,4,4,1,2,0,0,1,1,0,2,0,0,0,0,0,0.241,0.311,0.362,0.673
99,30-Jul,BOS,,TOR,L1-6,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0.244,0.313,0.369,0.682
100,1-Aug,BOS,,NYY,W4-3,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0.244,0.312,0.367,0.68
101,2-Aug,BOS,,NYY,L4-6,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.241,0.309,0.363,0.673
102,3-Aug,BOS,,NYY,L7-8,4,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0.239,0.306,0.36,0.666
103,5-Aug,BOS,@,STL,L2-3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0.237,0.304,0.357,0.661
104,6-Aug,BOS,@,STL,W2-1,4,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0.238,0.304,0.359,0.663
105,7-Aug,BOS,@,STL,L2-5,4,4,0,1,1,0,0,0,0,2,0,0,0,0,0,0.238,0.303,0.361,0.664
106,8-Aug,BOS,@,LAA,W4-2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.3,0.357,0.657
107,9-Aug,BOS,@,LAA,L4-5,7,5,0,0,0,0,0,1,1,2,0,0,1,0,0,0.233,0.298,0.353,0.65
108,10-Aug,BOS,@,LAA,W3-1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23,0.295,0.349,0.644
109,12-Aug,BOS,@,CIN,W3-2,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0.233,0.297,0.35,0.648
110,13-Aug,BOS,@,CIN,W5-4,4,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0.233,0.297,0.35,0.646
111,15-Aug,BOS,,HOU,L3-5,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.231,0.294,0.346,0.64
112,16-Aug,BOS,,HOU,W10-7,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0.23,0.296,0.344,0.64
113,17-Aug,BOS,,HOU,L1-8,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.228,0.296,0.342,0.638
114,18-Aug,BOS,,LAA,L2-4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.226,0.293,0.339,0.632
115,19-Aug,BOS,,LAA,L3-4,4,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0.224,0.293,0.336,0.629
116,20-Aug,BOS,,LAA,L3-8,4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0.225,0.294,0.336,0.631
117,21-Aug,BOS,,LAA,L0-2,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.224,0.293,0.334,0.627
118,22-Aug,BOS,,SEA,L3-5,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.223,0.293,0.333,0.627
119,30-Aug,BOS,@,TBR,L0-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.292,0.331,0.623
120,31-Aug,BOS,@,TBR,W3-0,4,4,1,2,1,0,0,0,0,2,0,0,0,0,0,0.224,0.293,0.335,0.628
121,1-Sep,BOS,@,TBR,L3-4,4,4,0,1,1,0,0,0,0,2,0,0,0,0,0,0.224,0.293,0.336,0.629
122,2-Sep,BOS,@,NYY,W9-4,5,5,1,4,1,0,1,2,0,0,0,0,0,0,0,0.231,0.298,0.35,0.648
123,3-Sep,BOS,@,NYY,L1-5,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0.229,0.296,0.348,0.644
124,4-Sep,BOS,@,NYY,L4-5,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0.228,0.294,0.346,0.64
125,5-Sep,BOS,,TOR,W9-8,5,5,1,3,1,0,0,2,0,0,0,0,0,0,0,0.232,0.297,0.351,0.648
126,6-Sep,BOS,,TOR,W4-3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.295,0.348,0.643
127,7-Sep,BOS,,TOR,L1-3,4,4,0,2,0,0,0,1,0,1,0,0,0,0,0,0.232,0.297,0.349,0.646
128,8-Sep,BOS,,BAL,L0-4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.296,0.348,0.644
129,9-Sep,BOS,,BAL,L1-4,4,3,1,2,0,0,1,1,1,0,0,0,0,0,0,0.235,0.3,0.356,0.656
130,10-Sep,BOS,,BAL,L6-10,5,5,2,2,1,0,1,1,0,0,0,0,0,0,0,0.237,0.301,0.365,0.666
131,11-Sep,BOS,@,KCR,W6-3,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0.237,0.302,0.364,0.666
132,12-Sep,BOS,@,KCR,W4-2,5,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0.236,0.301,0.363,0.663
133,13-Sep,BOS,@,KCR,L1-7,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0.236,0.3,0.362,0.662
134,14-Sep,BOS,@,KCR,W8-4,5,4,2,3,0,0,1,4,0,0,0,0,1,0,0,0.24,0.303,0.371,0.674
135,16-Sep,BOS,@,PIT,L0-4,4,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0.243,0.305,0.372,0.676
136,17-Sep,BOS,@,PIT,L1-9,4,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0.241,0.302,0.369,0.671
137,18-Sep,BOS,@,PIT,L2-3,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0.239,0.3,0.367,0.667
138,19-Sep,BOS,@,BAL,W5-3,5,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0.239,0.299,0.365,0.664
139,20-Sep,BOS,@,BAL,L2-7,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.237,0.297,0.362,0.659
140,21-Sep,BOS,@,BAL,W3-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.297,0.362,0.658
141,24-Sep,BOS,,TBR,W11-3,5,4,1,2,0,0,0,3,0,1,0,0,1,0,0,0.239,0.298,0.363,0.66
142,25-Sep,BOS,,TBR,W11-1,5,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0.238,0.297,0.361,0.658
143,26-Sep,BOS,,NYY,L2-3,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0.238,0.296,0.36,0.657
144,27-Sep,BOS,,NYY,W10-4,5,5,2,2,1,0,0,0,0,1,0,0,0,0,0,0.24,0.297,0.362,0.66
,,,,,60-84,594,538,60,129,28,1,12,46,39,138,8,2,7,6,11,0.24,0.297,0.362,0.66
