,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-02,0,1,18.90,1,0,3.1,9,7,7,0,1,2,3.00
1,2021-04-07,1,0,5.56,1,0,8.0,4,0,0,0,2,3,1.41
2,2021-04-13,0,1,7.07,1,0,2.2,5,5,4,3,2,2,1.64
3,2021-04-18,0,1,5.40,1,0,6.0,5,2,1,0,0,4,1.40
4,2021-04-24,0,0,5.76,1,0,5.0,5,4,4,1,3,4,1.44
5,2021-04-29,0,0,5.76,1,0,4.2,9,3,3,1,1,3,1.55
6,April,1,3,5.76,6,0,29.2,37,21,19,5,9,18,1.55
7,2021-05-11,0,1,5.97,1,0,5.0,7,4,4,1,2,4,1.59
8,2021-05-16,0,0,5.18,1,0,7.0,4,1,1,0,1,3,1.44
9,2021-05-22,0,0,5.01,1,0,5.0,7,3,2,0,1,3,1.46
10,2021-05-27,0,1,4.97,1,0,4.0,4,2,2,0,2,3,1.46
11,May,0,2,3.86,4,0,21.0,22,10,9,1,6,13,1.33
12,2021-06-02,1,0,4.47,1,0,7.2,7,3,1,0,1,3,1.41
13,2021-06-08,0,1,4.62,1,0,6.0,9,4,4,0,1,8,1.43
14,2021-06-13,0,1,4.86,1,0,6.0,8,5,5,1,0,4,1.42
15,2021-06-18,0,0,4.83,1,0,6.0,7,4,3,1,0,4,1.40
16,2021-06-26,0,0,4.76,1,0,5.0,7,3,2,0,3,5,1.44
17,June,1,2,4.40,5,0,30.2,38,19,15,2,5,24,1.40
18,2021-07-01,0,0,4.58,1,0,7.0,7,2,2,1,0,5,1.40
19,2021-07-07,0,1,4.58,1,0,6.0,7,3,3,0,1,5,1.40
20,July,0,1,3.46,2,0,13.0,14,5,5,1,1,10,1.15
21,2021-08-05,0,0,4.73,1,0,4.2,7,4,4,0,1,6,1.41
22,2021-08-11,0,1,4.71,1,0,6.0,9,3,3,0,1,3,1.43
23,2021-08-16,0,0,4.58,1,0,7.0,6,2,2,0,1,2,1.40
24,2021-08-23,0,0,4.42,1,0,6.0,5,1,1,0,2,6,1.39
25,2021-08-29,1,0,4.18,1,0,7.0,2,0,0,0,1,5,1.34
26,August,1,1,2.93,5,0,30.2,29,10,10,0,6,22,1.14
27,2021-09-03,1,0,4.16,1,0,7.0,6,3,3,1,0,3,1.31
28,2021-09-09,0,0,4.11,1,0,6.0,4,2,2,1,2,3,1.30
29,2021-09-15,0,0,4.06,1,0,6.0,7,2,2,1,0,7,1.29
30,2021-09-21,0,0,4.14,1,0,6.0,7,4,4,0,0,3,1.29
31,2021-09-26,0,0,4.10,1,0,6.0,8,2,2,0,1,2,1.29
32,September,1,0,3.77,5,0,31.0,32,13,13,3,3,18,1.13
33,2021-10-02,0,1,4.42,1,0,0.2,6,6,6,0,2,0,1.34
34,October,0,1,81.00,1,0,0.2,6,6,6,0,2,0,12.00
