,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-25,0,0,1.93,1,0,4.2,3,1,1,0,3,3,1.29
1,2020-07-31,0,0,2.61,1,0,5.2,4,3,2,0,1,2,1.06
2,July,0,0,2.61,2,0,10.1,7,4,3,0,4,5,1.06
3,2020-08-05,0,1,3.31,1,0,6.0,5,4,3,1,0,2,0.98
4,2020-08-10,0,1,6.41,1,0,3.1,11,8,8,1,0,2,1.37
5,2020-08-16,1,0,5.74,1,0,7.0,3,3,3,2,2,7,1.20
6,2020-08-21,0,1,6.23,1,0,3.2,7,4,4,0,2,0,1.35
7,2020-08-26,1,0,5.45,1,0,6.0,3,1,1,0,3,5,1.29
8,August,2,3,6.58,5,0,26.0,29,20,19,4,7,16,1.38
9,2020-09-01,0,1,6.69,1,0,2.2,9,7,7,2,0,1,1.44
10,September,0,1,23.63,1,0,2.2,9,7,7,2,0,1,3.38
