,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-24,1,0,0.00,1,0,6.0,4,0,0,0,1,4,0.83
1,2020-07-29,0,0,1.64,1,0,5.0,6,2,2,1,0,6,1.00
2,July,1,0,1.64,2,0,11.0,10,2,2,1,1,10,1.00
3,2020-08-03,1,0,2.65,1,0,6.0,5,3,3,1,0,5,0.94
4,2020-08-08,0,1,3.18,1,0,5.2,5,3,3,2,2,6,1.01
5,2020-08-13,0,1,4.91,1,0,3.0,6,6,6,3,1,1,1.17
6,2020-08-19,0,0,4.26,1,0,6.0,4,1,1,1,2,5,1.14
7,2020-08-25,0,1,5.15,1,0,5.0,8,6,6,2,1,7,1.23
8,2020-08-30,1,0,4.43,1,0,6.0,5,2,0,0,1,8,1.20
9,August,2,3,5.40,6,0,31.2,33,21,19,9,7,32,1.26
10,2020-09-05,0,1,4.75,1,0,4.2,7,4,4,0,1,6,1.25
11,2020-09-10,0,0,4.74,1,0,2.0,1,1,1,1,0,4,1.22
12,2020-09-18,1,0,4.23,1,0,6.0,1,0,0,0,2,3,1.14
13,2020-09-25,0,1,4.73,1,0,3.2,8,5,5,3,1,3,1.22
14,September,1,2,5.51,4,0,16.1,17,10,10,4,4,16,1.29
