,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-25,1,0,1.50,1,0,6.0,3,1,1,0,1,5,0.67
1,July,1,0,1.50,1,0,6.0,3,1,1,0,1,5,0.67
2,2020-08-15,1,0,1.64,1,0,5.0,2,1,1,0,3,3,0.82
3,2020-08-20,0,0,2.00,1,0,7.0,6,4,2,1,0,4,0.83
4,2020-08-25,0,0,2.88,1,0,7.0,7,4,4,1,2,4,0.96
5,2020-08-30,1,0,2.65,1,0,9.0,4,2,2,1,2,9,0.88
6,August,2,0,2.89,4,0,28.0,19,11,9,3,7,20,0.93
7,2020-09-05,1,0,2.68,1,0,6.1,6,2,2,2,1,6,0.92
8,2020-09-11,0,1,2.91,1,0,6.0,8,3,3,1,2,4,1.01
9,2020-09-16,1,0,2.87,1,0,7.0,4,2,2,1,1,9,0.98
10,2020-09-21,0,1,3.05,1,0,5.2,6,3,3,0,2,7,1.02
11,2020-09-26,0,1,3.15,1,0,6.2,8,3,3,2,1,3,1.05
12,September,2,3,3.69,5,0,31.2,32,13,13,6,7,29,1.23
