,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-05-15,0,0,5.40,1,0,5.0,6,3,3,0,0,1,1.20
1,2018-05-20,0,0,5.40,0,0,3.1,3,2,2,1,2,2,1.32
2,2018-05-26,1,0,3.68,0,0,6.1,3,1,1,0,1,7,1.02
3,May,1,0,3.68,1,0,14.2,12,6,6,1,3,10,1.02
