,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-05-12,1,0,3.60,5.0,4,2,1,0,6,0.80
1,2021-05-18,0,0,1.80,5.0,3,0,0,2,3,0.90
2,2021-05-23,1,0,1.06,7.0,3,0,0,0,4,0.71
3,2021-05-28,0,1,2.95,4.1,4,5,1,2,6,0.84
4,May,2,1,2.95,21.1,14,7,2,4,19,0.84
5,2021-06-04,0,1,3.75,2.2,2,3,1,4,2,1.00
6,2021-06-18,0,0,3.90,3.2,3,2,2,4,5,1.12
7,2021-06-24,0,1,4.99,3.0,6,5,2,4,6,1.34
8,June,0,2,9.64,9.1,11,10,5,12,13,2.46
