W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-03-31,1,0,0.0,6.0,0,0,0,5,6,0.83
2018-04-05,0,0,0.87,4.1,7,1,0,1,3,1.26
2018-04-11,0,0,3.68,4.1,7,5,0,4,4,1.64
2018-04-21,0,1,4.29,6.1,5,4,1,1,7,1.43
2018-04-26,0,0,3.33,6.0,1,0,0,3,10,1.26
2018-05-01,0,0,3.38,5.0,5,2,1,2,6,1.28
2018-05-06,0,0,3.49,6.2,4,3,0,2,8,1.22
2018-05-12,0,0,3.43,6.0,3,2,0,4,6,1.21
2018-05-18,0,1,3.96,5.1,8,5,2,4,5,1.32
2018-05-23,0,1,4.02,6.0,6,3,1,1,3,1.3
2018-05-29,0,0,3.57,7.0,5,0,0,1,8,1.25
2018-06-03,0,0,3.54,5.2,2,2,1,2,7,1.21
2018-06-09,0,1,3.45,7.0,5,2,2,2,5,1.19
2018-06-15,1,0,3.27,7.0,3,1,0,4,3,1.17
2018-06-21,0,1,3.25,6.0,7,2,1,3,5,1.21
2018-06-27,0,1,3.48,7.0,11,5,1,1,7,1.24
2018-07-02,0,0,3.58,5.0,8,3,1,2,3,1.28
2018-07-07,1,0,3.59,7.0,4,3,1,4,9,1.27
2018-07-12,1,0,3.42,8.0,5,1,0,0,9,1.23
2018-07-20,0,1,3.57,5.1,6,4,1,2,5,1.24
2018-07-26,1,0,3.42,8.0,4,1,0,2,7,1.21
2018-07-31,0,1,3.47,6.0,5,3,0,3,6,1.21
2018-08-06,0,1,3.6,5.0,7,4,2,3,3,1.24
2018-08-11,1,0,3.49,7.0,7,1,0,2,4,1.24
2018-08-17,1,0,3.51,7.0,8,3,0,3,5,1.26
2018-08-22,0,1,3.63,4.2,7,4,3,4,5,1.29
2018-08-28,0,1,3.79,5.1,8,5,0,3,4,1.32
2018-09-03,0,1,3.74,7.0,4,2,2,1,5,1.29
2018-09-10,0,1,3.67,5.2,4,1,1,4,5,1.3
2018-09-16,1,0,3.78,6.2,11,5,1,0,6,1.31
2018-09-23,1,0,3.68,7.1,7,1,1,3,3,1.31
2018-09-29,1,0,3.62,6.0,3,1,0,3,7,1.3
2019-04-03,0,0,9.64,4.2,8,5,1,2,2,2.14
2019-04-09,0,0,7.71,4.2,6,3,2,3,6,2.04
2019-04-16,0,0,7.36,5.1,4,4,0,3,4,1.77
2019-04-21,1,0,6.1,6.0,5,2,0,0,6,1.5
2019-04-28,1,0,4.88,7.0,3,1,1,0,6,1.23
2019-05-03,0,1,4.68,5.0,7,2,1,2,5,1.32
2019-05-08,1,0,4.19,6.0,2,1,1,1,11,1.19
2019-05-14,1,0,4.26,5.2,6,3,0,2,5,1.22
2019-05-19,0,1,4.47,6.0,9,4,2,0,6,1.25
2019-05-25,1,0,4.08,7.0,5,1,1,1,9,1.2
2019-06-01,1,0,3.75,5.0,6,0,0,1,3,1.22
2019-06-08,0,1,4.14,5.0,8,5,2,2,8,1.28
2019-06-14,1,0,3.7,8.0,2,0,0,0,6,1.17
2019-06-19,0,1,4.18,4.1,7,6,0,5,3,1.26
2019-06-25,1,0,4.26,7.0,7,4,1,1,7,1.25
2019-06-27,0,0,4.21,1.0,0,0,0,0,1,1.23
2019-07-03,0,0,4.13,6.0,5,2,1,4,5,1.25
2019-07-07,0,0,4.09,1.0,1,0,0,1,1,1.26
2019-07-12,0,0,4.03,3.2,4,1,1,1,5,1.26
2019-07-18,1,0,4.02,7.0,6,3,1,0,7,1.23
2019-07-23,0,0,4.24,5.0,7,5,1,3,3,1.27
2019-07-28,1,0,4.1,6.0,7,1,0,1,9,1.27
2019-08-03,1,0,4.02,6.2,4,2,1,2,6,1.25
2019-08-08,0,1,4.24,4.1,4,5,0,6,2,1.29
2019-08-14,0,0,4.28,5.0,8,3,0,3,3,1.32
2019-08-19,0,1,4.4,6.2,6,5,1,1,4,1.31
2019-08-24,1,0,4.49,5.1,10,4,1,0,8,1.33
2019-08-30,1,0,4.58,5.0,10,4,1,0,5,1.35
2019-09-12,0,1,4.73,4.2,8,5,2,4,5,1.39
2019-09-15,0,0,4.76,1.0,2,1,1,1,0,1.4
2019-09-19,0,0,4.88,1.2,3,3,0,4,2,1.43
2019-09-24,0,0,4.88,2.0,4,1,0,0,4,1.44
2019-09-28,0,0,4.85,1.0,1,0,0,2,2,1.45
2019-09-29,0,0,4.84,0.1,0,0,0,0,1,1.44
2020-07-28,0,1,0.0,5.0,5,0,0,3,4,1.6
2020-08-05,0,0,2.45,6.0,4,3,2,2,9,1.27
2020-08-10,0,1,4.11,4.1,9,4,1,1,2,1.57
2020-08-15,1,0,3.74,6.1,7,2,0,1,2,1.48
2020-08-20,0,0,4.73,5.0,6,5,1,3,3,1.54
2020-08-25,0,1,5.73,6.1,6,7,2,2,6,1.48
2020-08-30,0,1,6.16,5.0,5,5,3,4,8,1.53
2020-09-05,0,0,5.91,4.2,6,2,0,3,4,1.57
2020-09-10,0,1,6.14,5.2,10,5,2,3,3,1.66
2020-09-16,1,0,5.18,9.0,4,0,0,3,9,1.52
2020-09-21,0,1,5.87,4.0,5,7,1,4,4,1.57
