W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-03-30,1,0,0.0,7.0,4,0,0,0,5,0.57
2018-04-05,0,0,0.0,7.0,3,0,0,3,5,0.71
2018-04-11,0,1,2.4,1.0,3,4,1,2,1,1.0
2018-04-17,1,0,2.25,5.0,3,1,0,4,6,1.1
2018-04-22,0,1,2.93,7.2,9,4,1,1,6,1.16
2018-04-28,0,1,3.78,5.2,8,5,2,4,5,1.32
2018-05-03,0,1,5.11,3.2,6,7,0,2,4,1.41
2018-05-12,1,0,4.89,5.1,5,2,1,3,6,1.42
2018-05-17,1,0,4.38,9.0,5,2,1,0,8,1.27
2018-05-23,0,0,4.08,6.0,3,1,0,3,9,1.24
2018-05-28,1,0,4.04,5.0,4,2,0,4,4,1.27
2018-06-02,1,0,4.08,6.0,5,3,1,1,7,1.24
2018-06-09,1,0,4.0,6.0,5,2,0,3,6,1.25
2018-06-14,1,0,3.76,7.0,5,1,0,0,7,1.2
2018-06-20,0,1,3.81,6.0,7,3,2,1,3,1.21
2018-06-26,1,0,3.66,6.0,5,1,1,2,7,1.21
2018-07-01,0,1,4.28,3.1,9,8,5,0,3,1.26
2018-07-07,0,0,4.44,4.2,6,4,1,1,9,1.27
2018-07-12,1,0,4.42,6.2,6,3,2,0,8,1.25
2018-07-20,1,0,4.17,6.1,4,0,0,1,5,1.22
2018-07-30,0,0,3.97,8.0,8,1,0,1,5,1.22
2018-08-05,0,0,3.93,6.0,4,2,0,3,5,1.22
2018-08-11,1,0,3.75,6.0,5,0,0,0,10,1.2
2018-08-18,1,0,3.69,7.0,5,2,1,2,8,1.19
2018-08-23,1,0,3.5,8.0,3,0,0,0,7,1.15
2018-08-29,0,0,3.6,3.0,5,3,1,0,3,1.16
2018-09-07,0,0,3.57,6.1,2,2,0,2,10,1.13
2018-09-12,1,0,3.42,7.0,3,0,0,0,7,1.1
2018-09-19,0,1,3.53,5.1,5,4,3,4,2,1.12
2018-09-26,1,0,3.58,5.0,6,3,2,3,6,1.14
2019-04-01,0,1,6.0,6.0,5,4,3,2,9,1.17
2019-04-06,0,0,6.0,6.0,7,4,0,1,4,1.25
2019-04-14,1,0,3.79,7.0,3,0,0,0,7,0.95
2019-04-21,0,0,3.75,5.0,5,2,0,2,10,1.04
2019-04-27,0,1,3.6,6.0,4,2,1,3,7,1.07
2019-05-02,0,0,3.75,6.0,7,3,1,2,5,1.14
2019-05-20,1,0,3.29,5.0,3,0,1,0,4,1.07
2019-05-25,0,0,3.24,0.2,1,0,0,0,1,1.08
2019-05-28,0,0,2.83,6.0,3,0,0,1,6,1.03
2019-06-02,1,0,2.83,6.1,6,2,1,1,6,1.04
2019-06-08,1,0,2.7,6.0,5,1,0,2,10,1.05
2019-06-13,0,0,3.52,1.1,5,6,0,1,2,1.13
2019-06-18,0,0,3.39,5.0,4,1,0,0,2,1.1
2019-06-25,1,0,3.36,6.0,8,2,0,0,9,1.12
2019-07-02,1,0,3.33,6.0,4,2,0,4,7,1.14
2019-07-07,1,0,3.24,5.0,4,1,0,2,6,1.14
2019-07-14,0,0,3.16,5.0,4,1,1,3,7,1.15
2019-07-19,0,1,3.61,4.0,8,6,2,1,4,1.2
2019-07-24,0,1,3.66,6.0,4,3,1,2,8,1.19
2019-07-30,0,0,3.86,4.1,9,4,2,2,9,1.25
2019-08-04,0,1,4.36,2.2,9,7,2,2,3,1.32
2019-09-01,0,0,4.28,2.0,1,0,0,1,2,1.31
2021-04-02,0,0,10.8,1.2,5,2,2,0,2,3.0
2021-04-05,0,0,12.27,2.0,4,3,1,2,0,3.0
2021-04-13,0,0,9.64,1.0,0,0,0,0,2,2.36
2021-04-15,0,0,7.94,1.0,2,0,0,0,2,2.29
2021-04-16,1,0,5.87,2.0,0,0,0,1,4,1.83
2021-04-19,0,0,5.19,1.0,0,0,0,1,0,1.73
2021-04-25,0,0,5.59,1.0,3,1,0,0,1,1.86
2021-05-18,0,0,5.06,1.0,0,0,0,0,1,1.69
2021-05-20,0,0,4.26,2.0,3,0,0,0,1,1.66
2021-05-23,0,0,3.95,1.0,1,0,0,0,1,1.61
2021-05-27,0,0,3.31,2.2,0,0,0,0,5,1.35
2021-06-01,0,0,4.0,1.2,5,2,0,1,3,1.56
2021-06-06,0,0,4.42,0.1,1,1,0,2,0,1.69
2021-06-09,0,0,3.98,2.0,1,0,0,0,1,1.57
2021-06-12,0,0,3.86,0.2,2,0,0,0,1,1.62
2021-06-14,1,0,3.74,0.2,1,0,0,0,0,1.62
2021-06-16,0,0,3.57,1.0,1,0,0,0,0,1.59
2021-06-20,0,0,3.8,1.0,3,1,0,0,1,1.65
2021-06-21,0,0,3.65,1.0,1,0,0,0,0,1.62
2021-06-24,0,0,4.01,0.0,3,1,0,0,0,1.74
2021-06-25,0,0,3.96,0.1,0,0,0,0,0,1.72
2021-06-26,1,0,3.86,0.2,0,0,0,0,0,1.68
2021-07-04,1,0,3.58,2.0,2,0,0,1,3,1.66
2021-07-09,0,0,3.23,3.0,4,0,0,1,3,1.66
2021-07-18,0,0,3.12,4.0,2,1,0,1,4,1.56
2021-07-23,0,0,3.35,5.2,4,3,2,1,4,1.46
2021-07-29,0,1,3.63,4.1,4,3,0,3,2,1.48
2021-08-01,0,0,3.55,1.0,0,0,0,0,1,1.45
2021-08-06,0,0,3.53,5.1,4,2,2,0,4,1.37
2021-08-11,0,0,3.6,4.0,5,2,0,1,1,1.38
2021-08-17,0,0,3.62,4.2,3,2,0,1,3,1.34
2021-08-22,0,1,3.82,4.0,3,3,0,2,4,1.34
2021-08-28,0,0,3.88,3.2,2,2,0,2,1,1.32
2021-09-05,0,0,3.78,1.2,2,0,0,3,1,1.36
2021-09-14,0,0,3.86,1.0,3,1,0,0,2,1.39
2021-09-23,0,0,3.8,1.0,0,0,0,1,0,1.38
2021-09-25,0,0,3.89,0.2,2,1,0,1,0,1.41
2021-09-29,1,0,3.84,1.0,0,0,0,0,0,1.39
2021-10-02,0,0,4.03,1.0,3,2,1,1,0,1.43
