W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-03-29,0,0,9.0,5.0,7,5,3,0,1,1.4
2018-04-03,0,1,8.1,5.0,8,4,1,1,1,1.6
2018-04-08,0,1,9.45,3.1,5,5,1,4,3,1.88
2018-04-14,0,1,9.87,4.0,8,5,1,2,5,2.02
2018-04-20,0,1,10.07,5.0,7,6,1,0,6,1.88
2018-04-25,0,1,8.89,6.0,6,3,0,4,7,1.84
2018-05-11,1,0,7.6,6.0,3,1,2,2,4,1.66
2020-07-27,0,1,13.5,4.0,6,6,2,3,7,2.25
2020-08-02,0,1,8.31,4.2,3,2,0,2,3,1.62
2020-09-04,0,0,7.45,1.0,0,0,0,0,1,1.45
2020-09-06,0,0,6.75,1.0,1,0,0,0,0,1.41
2020-09-12,0,0,6.94,1.0,1,1,0,0,0,1.37
2020-09-13,0,0,6.39,1.0,0,0,0,0,1,1.26
2020-09-17,0,1,8.1,0.2,2,3,0,1,1,1.43
2020-09-19,0,0,7.53,1.0,0,0,0,0,0,1.33
2020-09-20,0,0,7.04,1.0,1,0,0,0,0,1.3
2020-09-23,0,0,6.48,1.1,1,0,0,1,1,1.32
2020-09-26,1,0,5.79,2.0,0,0,0,1,1,1.23
2021-04-03,0,0,0.0,2.0,0,0,0,0,5,0.0
2021-04-07,0,0,0.0,1.0,1,0,0,2,0,1.0
2021-04-10,1,0,0.0,1.0,0,0,0,0,0,0.75
2021-04-13,0,0,0.0,1.0,0,0,0,0,0,0.6
2021-04-15,0,0,0.0,1.0,0,0,0,0,1,0.5
2021-04-19,0,0,0.0,1.2,0,0,0,0,2,0.39
2021-04-22,0,0,0.0,1.0,0,0,0,0,2,0.35
2021-04-27,0,0,0.0,1.0,0,0,0,0,1,0.31
2021-04-29,0,0,0.0,1.0,1,0,0,0,1,0.38
2021-05-02,0,0,0.0,1.0,1,0,0,0,0,0.43
2021-05-04,0,0,0.0,1.2,0,0,0,1,1,0.45
2021-05-07,0,0,0.0,1.0,1,0,0,0,3,0.49
2021-05-14,0,0,0.0,1.1,1,0,0,0,0,0.51
2021-05-16,0,0,0.0,1.0,1,0,0,0,1,0.54
2021-06-12,0,0,0.51,1.0,2,1,1,0,0,0.62
2021-06-13,0,0,0.96,1.0,1,1,0,1,1,0.7
2021-06-18,0,0,0.92,1.0,0,0,0,0,1,0.66
2021-06-19,0,0,1.31,1.0,1,1,1,0,1,0.68
2021-06-22,0,0,1.25,1.0,0,0,0,0,1,0.65
2021-06-26,0,0,1.19,1.0,1,0,0,0,0,0.66
2021-06-30,1,0,1.11,1.2,0,0,0,1,0,0.66
2021-07-02,0,0,1.07,1.0,1,0,0,0,2,0.67
2021-07-04,0,0,1.03,1.0,0,0,0,0,1,0.65
2021-07-08,0,0,0.99,1.0,0,0,0,0,0,0.62
2021-07-09,0,0,0.95,1.0,0,0,0,0,1,0.6
2021-07-16,0,0,0.93,0.2,3,0,0,0,2,0.69
2021-07-20,0,0,0.9,1.0,0,0,0,1,2,0.7
2021-07-23,0,0,0.87,1.0,0,0,0,1,2,0.71
2021-07-24,1,0,0.84,1.0,0,0,0,0,1,0.69
2021-07-26,1,0,0.82,1.0,0,0,0,1,2,0.7
2021-07-30,0,0,0.79,1.1,0,0,0,0,3,0.67
2021-08-03,0,0,0.76,1.0,1,0,0,0,2,0.68
2021-08-06,0,0,0.74,1.0,0,0,0,0,1,0.66
2021-08-07,0,0,0.72,1.0,1,0,0,0,1,0.67
2021-08-11,0,0,0.7,1.0,0,0,0,0,1,0.65
2021-08-13,0,0,0.92,1.0,2,1,0,0,1,0.69
2021-08-18,0,0,0.88,1.2,1,0,0,0,1,0.68
2021-08-22,0,0,1.07,1.0,2,1,0,0,2,0.71
2021-08-24,0,0,1.05,1.0,0,0,0,0,1,0.7
2021-08-25,1,0,1.02,1.0,0,0,0,0,1,0.68
2021-08-28,0,0,1.0,1.0,1,0,0,1,0,0.71
2021-08-31,0,1,1.79,0.1,2,4,1,1,1,0.77
2021-09-03,0,0,1.76,0.2,0,0,0,3,1,0.83
2021-09-05,0,0,1.72,1.0,1,0,0,0,1,0.83
2021-09-07,0,0,1.69,1.0,0,0,0,0,1,0.81
2021-09-08,0,0,1.65,1.0,1,0,0,1,1,0.84
2021-09-12,0,0,1.62,1.0,1,0,0,1,1,0.86
2021-09-15,0,0,1.59,1.0,0,0,0,0,1,0.84
2021-09-17,0,0,1.73,1.0,2,1,0,1,0,0.88
2021-09-22,0,0,1.71,0.2,1,0,0,1,0,0.91
2021-09-25,0,0,1.67,1.1,2,0,0,2,3,0.96
2021-09-30,0,0,1.64,1.0,0,0,0,0,1,0.95
2021-10-02,0,0,1.77,1.0,2,1,0,1,2,0.98
