W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2021-08-01,0,1,12.46,4.1,6,6,2,2,2,1.85
2021-08-08,0,1,10.61,5.0,7,5,1,2,5,1.82
2021-08-15,1,0,7.04,6.0,3,1,1,2,6,1.43
2021-08-21,0,1,7.11,3.2,7,3,1,3,4,1.68
2021-10-03,0,0,7.4,1.2,3,2,0,2,2,1.79
