W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-03-31,0,0,10.38,1,0,4.1,5,5,5,1,2,4,1.62
2018-04-07,0,0,5.23,1,0,6.0,2,1,1,1,1,9,0.97
2018-04-13,0,1,6.0,1,0,4.2,9,4,4,1,4,4,1.53
2018-04-21,0,1,6.86,1,0,4.2,5,5,5,0,4,4,1.63
2018-04-27,0,0,5.26,1,0,6.0,3,1,0,0,2,8,1.44
2018-05-02,0,1,6.0,1,0,4.1,7,6,5,3,3,8,1.57
2018-05-15,0,0,5.56,1,0,4.0,3,1,1,1,2,5,1.53
2018-05-20,1,0,4.95,1,0,6.0,2,1,1,0,3,7,1.43
2019-03-30,0,0,10.13,1,0,2.2,2,3,3,1,7,4,3.38
2019-04-04,0,1,8.1,1,0,4.0,5,3,3,0,4,2,2.7
2019-04-10,0,1,7.5,1,0,5.1,5,5,4,2,0,4,1.92
2019-04-15,1,0,6.11,1,0,5.2,4,2,2,1,4,8,1.75
2019-04-20,0,1,5.96,1,0,5.0,5,3,3,2,3,7,1.72
2019-04-27,1,0,5.02,1,0,6.0,2,1,1,1,4,8,1.57
2019-05-04,0,0,5.79,1,0,4.0,6,5,5,1,5,4,1.71
2019-05-09,0,0,5.4,1,0,4.0,1,1,1,0,6,7,1.72
2019-05-15,0,0,5.14,1,0,5.1,5,2,2,0,0,11,1.62
2019-05-20,0,0,5.06,1,0,6.0,4,3,3,0,3,7,1.56
2019-05-25,0,0,5.4,1,0,7.0,12,6,6,3,2,5,1.62
2019-05-31,0,0,5.02,1,0,6.0,3,1,1,0,3,6,1.56
2019-06-05,0,0,4.88,1,0,5.1,3,3,2,0,3,5,1.52
2019-06-10,0,0,4.98,1,0,6.0,6,4,4,2,0,3,1.48
2019-06-15,0,0,4.65,1,0,7.0,2,1,1,1,1,10,1.39
2019-06-21,0,0,4.75,1,0,6.0,4,4,4,2,2,6,1.36
2019-06-26,0,1,4.98,1,0,5.0,5,5,5,2,2,8,1.36
2019-07-03,0,0,5.01,1,0,6.2,7,4,4,2,0,6,1.34
2019-07-12,0,0,4.72,1,0,6.0,2,0,0,0,1,8,1.29
2019-07-17,1,0,4.46,1,0,6.0,2,0,0,0,0,7,1.24
