W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019-06-30,0,1,3.6,1,0,5.0,5,2,2,1,2,7,1.4
2019-07-22,1,0,3.52,0,0,2.2,4,1,1,0,0,2,1.43
2019-07-26,0,0,2.79,0,0,2.0,2,0,0,0,0,0,1.34
2019-08-02,0,0,3.18,0,0,1.2,3,1,1,0,0,1,1.41
2019-08-19,0,0,3.38,0,0,2.0,2,1,1,0,1,3,1.43
2019-08-25,0,0,4.4,0,0,1.0,3,2,2,0,0,1,1.53
2019-09-03,1,0,5.09,0,0,3.1,2,3,3,0,2,4,1.47
2019-09-06,0,1,5.3,0,0,1.0,1,1,1,0,0,1,1.45
2019-09-14,0,0,6.45,1,0,3.2,7,5,5,2,4,6,1.7
2019-09-19,1,0,6.15,0,0,4.0,6,2,2,0,1,4,1.71
2019-09-28,0,0,5.93,0,0,1.0,1,0,0,0,0,1,1.68
2019-09-29,0,0,6.18,0,0,0.1,2,1,1,0,0,1,1.73
2020-07-26,0,0,0.0,0,0,2.2,1,0,0,0,2,0,1.13
2020-07-30,0,0,0.0,0,0,2.0,2,0,0,0,0,1,1.07
2020-08-03,0,0,3.12,1,0,4.0,6,3,3,1,4,3,1.73
2020-08-08,0,1,6.23,0,0,0.0,3,3,3,1,0,0,2.08
2020-08-12,0,0,5.06,0,0,2.0,2,0,0,0,0,2,1.88
2020-08-19,0,0,6.14,0,0,4.0,6,4,4,2,3,3,1.98
2020-08-29,0,0,6.06,0,0,1.2,4,2,1,0,1,1,2.08
2021-04-16,0,0,4.5,1,0,4.0,3,2,2,0,1,2,1.0
2021-04-20,0,0,3.6,0,0,1.0,0,0,0,0,0,1,0.8
2021-05-05,0,1,4.5,1,0,5.0,5,3,3,0,1,2,1.0
2021-05-20,0,1,3.86,1,0,4.0,5,4,1,1,2,0,1.21
2021-08-18,0,0,4.7,1,0,1.1,1,2,2,1,3,1,1.37
