W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-07-27,0,0,0.0,2.0,0,0,0,0,2,0.0
2018-08-24,0,0,1.17,5.2,4,1,0,1,8,0.65
2018-08-29,0,1,3.55,5.0,5,4,1,2,5,0.95
2018-09-18,0,0,3.07,2.0,0,0,0,0,3,0.82
2018-09-24,0,0,2.87,1.0,0,0,0,1,1,0.83
2018-09-25,0,0,3.38,0.1,1,1,0,1,1,0.94
2018-09-30,0,0,4.0,2.0,1,2,0,2,3,1.0
2019-07-16,0,0,4.5,6.0,5,3,1,1,6,1.0
2019-07-22,0,0,4.35,4.1,7,2,0,1,5,1.35
2019-08-10,0,0,3.77,4.0,4,1,1,3,3,1.47
2019-08-14,0,0,3.98,6.0,4,3,2,2,4,1.33
2019-09-09,0,0,3.8,1.0,1,0,0,0,2,1.31
2019-09-13,0,0,3.7,3.0,2,1,0,0,4,1.23
2019-09-16,1,0,3.42,2.0,1,0,0,0,3,1.18
2019-09-20,0,0,2.9,4.2,2,0,0,2,6,1.13
2019-09-27,0,0,2.75,5.0,5,1,1,2,9,1.17
2020-07-28,1,0,3.0,6.0,2,2,1,2,3,0.67
2020-08-03,1,0,1.38,7.0,3,0,0,3,4,0.77
2020-08-14,0,1,2.84,6.0,5,4,1,1,7,0.84
2020-08-19,0,1,4.76,3.2,7,6,1,2,1,1.1
2020-08-24,1,0,4.55,7.0,7,3,1,1,7,1.11
2020-08-29,0,0,5.23,3.0,4,4,3,1,2,1.16
2020-09-03,0,1,5.5,5.0,7,4,1,1,2,1.22
2020-09-08,1,0,4.74,6.0,4,0,0,3,6,1.21
2020-09-13,1,0,3.93,9.0,0,0,0,3,5,1.06
2020-09-19,0,1,4.14,6.0,6,4,2,1,7,1.07
2020-09-24,0,1,4.48,3.2,8,4,3,1,2,1.16
2021-04-01,0,0,0.0,1.0,0,0,0,0,1,0.0
2021-04-05,0,0,0.0,1.0,0,0,0,0,1,0.0
2021-04-07,0,0,2.7,1.1,1,1,1,0,0,0.3
2021-04-10,0,0,1.59,2.1,1,0,0,2,1,0.71
2021-04-13,0,0,2.79,4.0,2,2,1,0,0,0.62
2021-04-18,0,0,5.06,1.0,5,3,0,1,1,1.13
2021-04-21,1,0,3.95,3.0,1,0,0,0,2,0.95
2021-04-25,0,0,3.45,2.0,2,0,0,0,0,0.96
2021-04-28,0,0,4.5,2.1,5,3,2,1,2,1.17
2021-05-02,0,0,5.68,1.0,3,3,0,0,2,1.26
2021-05-05,1,0,5.14,2.0,3,0,0,2,1,1.38
2021-05-15,0,0,5.96,1.2,2,3,0,2,2,1.46
2021-06-08,0,0,6.08,1.0,1,1,0,2,2,1.52
2021-06-15,0,1,6.11,4.1,5,3,0,2,6,1.54
2021-06-20,1,0,5.18,5.0,6,0,0,0,3,1.48
2021-06-26,0,0,5.11,4.0,8,2,0,2,2,1.59
2021-07-02,0,1,4.85,5.2,2,2,0,1,9,1.45
2021-07-07,1,0,4.84,5.2,5,3,1,1,5,1.41
2021-07-19,0,1,4.64,4.0,6,1,0,2,6,1.45
2021-07-24,0,0,4.55,5.0,3,2,1,2,1,1.41
2021-07-29,0,1,4.55,6.0,9,3,1,0,0,1.42
2021-08-04,1,0,4.41,6.0,8,2,0,2,3,1.44
2021-08-10,0,0,4.27,2.1,1,0,0,0,3,1.41
2021-08-15,0,1,4.19,5.2,7,2,1,1,4,1.41
2021-08-22,0,1,4.76,4.0,12,7,0,0,5,1.49
2021-08-28,1,0,4.32,8.1,4,0,0,2,3,1.42
2021-09-03,0,0,4.53,5.2,8,5,3,0,6,1.42
2021-09-08,0,0,4.35,6.0,4,1,1,1,3,1.38
2021-09-15,0,0,4.5,4.2,6,4,1,2,4,1.4
2021-09-21,0,1,4.83,4.0,6,6,1,2,4,1.42
2021-09-28,0,0,5.09,5.0,7,6,1,2,4,1.43
2021-10-03,0,0,5.07,4.0,4,2,1,2,1,1.44
