W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2019-07-04,0,1,5.4,5.0,3,3,1,2,7,1.0
2019-07-12,0,1,6.3,5.0,5,4,2,2,7,1.2
2019-07-18,0,0,5.14,4.0,6,1,1,2,5,1.43
2019-07-24,0,0,5.0,4.0,4,2,0,1,6,1.39
2019-07-30,0,0,5.09,5.0,5,3,0,2,5,1.39
2019-08-06,1,0,3.9,7.0,2,0,0,4,12,1.27
2019-08-11,0,0,3.86,5.0,3,2,1,3,7,1.26
2019-08-17,1,0,3.95,6.0,6,3,1,1,6,1.24
2019-08-24,0,0,4.3,5.0,6,4,0,3,5,1.3
2019-08-30,0,1,4.24,5.0,3,2,2,2,10,1.27
2019-09-06,0,1,3.95,6.0,6,1,0,1,4,1.26
2019-09-12,0,1,4.06,5.0,4,3,0,2,7,1.26
2019-09-18,1,0,3.84,6.0,3,1,1,3,14,1.24
2019-09-25,0,0,4.07,5.0,6,4,3,2,10,1.26
2020-07-25,1,0,1.8,5.0,5,1,0,1,8,1.2
2020-07-30,0,0,1.8,5.0,4,1,0,4,7,1.4
2020-08-04,0,0,1.72,5.2,2,1,0,2,2,1.15
2020-08-09,1,0,1.61,6.2,1,1,1,0,11,0.85
2020-08-14,0,1,1.59,6.0,3,1,1,1,8,0.81
2020-08-20,0,0,1.89,5.0,2,2,1,3,9,0.84
2020-08-27,0,0,2.35,5.0,5,3,1,3,6,0.94
2020-09-02,0,0,2.62,6.1,5,3,1,1,6,0.94
2020-09-07,0,0,2.24,7.2,6,0,0,0,11,0.92
2020-09-14,1,0,2.12,7.0,3,1,0,2,11,0.89
2020-09-20,0,0,2.07,6.0,2,1,0,2,10,0.87
2020-09-25,0,0,2.09,3.2,1,1,0,1,4,0.86
2021-04-21,0,0,0.0,2.0,1,0,0,1,4,1.0
2021-05-04,0,0,0.0,2.0,4,0,0,0,0,1.5
2021-05-11,0,0,1.5,2.0,1,1,0,1,1,1.33
2021-05-16,1,0,2.25,2.0,2,1,0,2,2,1.5
2021-05-22,0,0,1.64,3.0,2,0,0,0,5,1.27
2021-05-28,0,0,2.57,3.0,5,2,1,2,3,1.5
2021-06-02,0,0,2.5,4.0,4,1,0,1,6,1.44
2021-06-08,0,1,3.52,5.0,4,4,1,1,6,1.35
2021-06-14,0,1,3.33,4.0,4,1,0,2,3,1.37
2021-06-20,1,0,2.81,5.0,4,0,0,1,7,1.31
2021-06-26,0,1,3.67,2.1,6,4,2,0,1,1.4
2021-09-01,0,0,3.57,1.0,1,0,0,0,3,1.39
2021-09-04,0,0,3.5,0.2,0,0,0,2,1,1.42
2021-09-08,0,0,3.89,1.0,3,2,1,0,3,1.46
2021-09-12,0,1,4.06,0.2,1,1,1,2,1,1.51
2021-09-13,0,0,4.19,1.0,2,1,0,1,2,1.55
2021-09-17,0,0,3.98,2.0,0,0,0,2,3,1.52
2021-09-19,0,0,4.1,1.0,1,1,0,1,0,1.54
2021-09-22,0,0,4.01,1.0,0,0,0,0,0,1.5
2021-09-25,0,0,3.86,1.2,1,0,0,0,3,1.47
2021-09-29,0,0,3.66,2.1,1,0,0,0,2,1.41
2021-10-03,0,0,4.4,0.1,1,4,0,3,1,1.49
