W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-03-30,0,0,0.0,7.0,1,0,0,0,4,0.14
2018-04-04,1,0,0.69,6.0,8,1,0,2,1,0.85
2018-04-17,0,0,0.45,7.0,2,0,0,0,11,0.65
2018-04-22,1,0,0.35,6.0,2,0,0,2,7,0.65
2018-04-28,1,0,0.84,6.0,3,2,1,2,3,0.69
2018-07-05,0,1,1.95,5.0,10,5,2,2,2,0.92
2018-07-11,0,0,2.36,5.0,6,3,2,3,7,1.02
2018-07-22,0,0,2.76,7.0,6,4,3,2,3,1.04
2018-07-28,0,1,3.23,4.0,8,4,0,0,0,1.11
2019-09-10,1,0,0.0,5.0,1,0,0,1,4,0.4
2019-09-15,0,0,0.0,5.0,3,0,0,2,2,0.7
2019-09-21,0,1,2.57,4.0,2,4,0,5,5,1.0
2019-09-27,0,1,5.06,2.0,5,5,3,1,2,1.25
2020-07-23,0,0,2.25,4.0,5,1,0,1,3,1.5
2020-07-29,0,0,5.87,3.2,4,4,1,3,4,1.7
2020-08-03,0,0,4.97,5.0,5,2,1,2,4,1.58
2020-08-08,1,0,5.4,5.2,2,4,1,3,3,1.36
2020-08-14,0,0,4.62,7.0,3,2,0,2,5,1.18
2020-08-19,1,0,4.35,5.2,4,2,0,1,8,1.13
2020-08-25,0,0,5.4,4.0,8,6,2,1,6,1.26
2020-08-30,0,0,4.75,6.2,3,1,1,3,6,1.2
2020-09-06,0,0,4.56,5.2,7,2,1,3,7,1.27
2020-09-13,0,1,4.78,5.1,7,4,0,3,2,1.33
2020-09-21,0,1,5.53,4.1,8,7,1,3,4,1.42
2020-09-26,0,1,5.4,6.1,5,3,1,1,4,1.37
2021-04-02,0,0,4.76,5.2,6,3,0,3,7,1.59
2021-04-09,1,0,2.51,8.2,4,1,0,1,7,0.98
2021-04-14,1,0,1.8,5.2,3,0,0,0,4,0.85
2021-05-09,0,1,3.52,3.0,8,5,2,1,2,1.13
2021-05-15,0,0,3.62,4.1,8,2,0,0,2,1.24
2021-05-20,1,0,3.34,5.0,5,1,0,1,4,1.24
2021-05-26,0,0,3.86,5.0,8,4,0,0,5,1.29
2021-05-31,1,0,3.45,7.0,5,1,0,0,5,1.2
2021-06-06,0,1,3.7,4.1,6,3,2,2,4,1.25
2021-06-13,0,1,4.0,5.1,9,4,2,3,2,1.35
2021-06-18,1,0,4.05,6.0,6,3,2,0,5,1.32
2021-06-25,1,0,3.63,7.0,5,0,0,1,6,1.27
2021-07-01,0,1,4.0,5.0,7,5,2,2,5,1.31
2021-07-06,0,1,4.15,6.0,9,4,1,1,7,1.33
2021-07-18,0,0,4.01,5.0,2,1,1,1,5,1.29
2021-07-23,0,0,4.09,5.0,3,3,1,1,7,1.26
2021-07-29,1,0,3.84,5.2,4,0,0,2,5,1.25
2021-08-03,0,1,3.83,5.0,6,2,0,4,7,1.29
2021-08-08,0,0,3.89,5.1,5,3,1,1,3,1.28
2021-08-25,0,0,3.73,4.2,5,0,0,3,2,1.3
2021-08-31,0,1,4.09,3.2,10,6,1,2,1,1.36
2021-09-30,0,0,4.08,2.1,3,1,0,1,3,1.37
