,playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA
99913,ascheco01,2015,PHI,NL,129,425,41,104,22,3,12,39.0,1.0,2.0,26,111.0,3.0,4.0,0.0,1.0,4.0,0.245
99914,asheral01,2015,PHI,NL,7,6,0,2,1,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.333
99915,ashlene01,2015,MIL,NL,12,20,2,2,1,0,0,1.0,0.0,0.0,0,8.0,0.0,1.0,0.0,0.0,0.0,0.1
99916,atchisc01,2015,CLE,AL,23,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99917,aumonph01,2015,PHI,NL,1,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99918,avilaal01,2015,DET,AL,67,178,21,34,5,0,4,13.0,0.0,1.0,40,66.0,0.0,0.0,1.0,0.0,4.0,0.191
99919,avilalu01,2015,ATL,NL,50,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99920,avilalu01,2015,LAN,NL,23,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99921,avilemi01,2015,CLE,AL,98,290,37,67,10,0,5,17.0,3.0,1.0,20,38.0,0.0,1.0,5.0,1.0,18.0,0.231
99922,axelrdy01,2015,CIN,NL,6,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
99923,axforjo01,2015,COL,NL,60,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99924,aybarer01,2015,LAA,AL,156,597,74,161,30,1,3,44.0,15.0,6.0,25,73.0,1.0,4.0,7.0,5.0,12.0,0.27
99925,badenbu01,2015,CIN,NL,68,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99926,baezja01,2015,CHN,NL,28,76,4,22,6,0,1,4.0,1.0,2.0,4,24.0,1.0,0.0,0.0,0.0,0.0,0.289
99927,baezpe01,2015,LAN,NL,52,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99928,bailean01,2015,NYA,AL,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99929,baileho02,2015,CIN,NL,2,4,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99930,bakerje03,2015,MIA,NL,41,72,11,15,3,0,3,8.0,0.0,0.0,8,25.0,0.0,0.0,0.0,0.0,0.0,0.208
99931,bakersc02,2015,LAN,NL,2,3,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
99932,balesco01,2015,CIN,NL,15,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99933,balfogr01,2015,TBA,AL,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99934,bandyje01,2015,LAA,AL,2,2,1,1,0,0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
99935,banuema01,2015,ATL,NL,7,3,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
99936,barmecl01,2015,SDN,NL,98,207,24,48,14,1,3,16.0,0.0,1.0,10,55.0,2.0,4.0,3.0,0.0,0.0,0.232
99937,barneau01,2015,LAN,NL,20,29,4,6,2,0,0,1.0,1.0,0.0,6,6.0,0.0,1.0,1.0,0.0,2.0,0.207
99938,barnebr02,2015,COL,NL,106,255,30,64,13,2,2,17.0,4.0,2.0,21,67.0,3.0,3.0,1.0,1.0,6.0,0.251
99939,barneda01,2015,LAN,NL,2,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99940,barneda01,2015,TOR,AL,15,23,4,7,1,0,2,4.0,0.0,0.0,1,2.0,0.0,0.0,2.0,0.0,0.0,0.304
99941,barnema01,2015,BOS,AL,32,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99942,barnhtu01,2015,CIN,NL,81,242,23,61,9,0,3,18.0,0.0,1.0,25,45.0,5.0,2.0,2.0,3.0,10.0,0.252
99943,baronst01,2015,SEA,AL,4,11,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
99944,barraky01,2015,MIA,NL,25,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99945,barreaa01,2015,WAS,NL,40,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99946,barriyh01,2015,MIL,NL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99947,bassan01,2015,TEX,AL,33,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99948,bassich01,2015,OAK,AL,18,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99949,bastaan01,2015,PIT,NL,66,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
