,name,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
13,Brian Anderson,248.0,5.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,0.251,0.34,0.384,0.724
14,Tim Anderson,272.0,67.0,68.0,0.0,0.0,0.0,1.0,0.0,68.0,0.3,0.338,0.486,0.824
15,Elvis Andrus,252.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.251,0.302,0.364,0.666
16,Miguel Andujar,130.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,35.0,0.18,0.203,0.246,0.449
17,Aristides Aquino,71.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,25.0,0.235,0.336,0.536,0.871
18,Orlando Arcia,166.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,55.0,0.232,0.286,0.345,0.63
19,Nolan Arenado,312.0,77.0,78.0,0.0,0.0,0.0,78.0,0.0,77.0,0.294,0.359,0.526,0.885
20,Randy Arozarena,84.0,28.0,28.0,0.0,0.0,0.0,2.0,0.0,28.0,0.271,0.357,0.45,0.807
21,Luis Arraez,147.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.394,0.401,0.795
22,Christian Arroyo,51.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,17.0,0.273,0.326,0.42,0.746
23,Willians Astudillo,78.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.305,0.315,0.472,0.787
24,Alex Avila,61.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,29.0,0.2,0.366,0.383,0.749
25,Akil Baddoo,58.0,10.0,19.0,0.0,0.0,0.0,0.0,1.0,19.0,0.244,0.318,0.469,0.787
26,Harrison Bader,189.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.238,0.338,0.412,0.749
27,Javier Baez,300.0,75.0,75.0,0.0,0.0,0.0,75.0,0.0,75.0,0.268,0.308,0.53,0.839
28,Austin Barnes,90.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,0.238,0.361,0.351,0.712
29,Tucker Barnhart,184.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,0.251,0.343,0.392,0.736
30,Jake Bauers,150.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.216,0.301,0.347,0.647
31,Matt Beaty,73.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.257,0.328,0.396,0.724
32,Cody Bellinger,277.0,69.0,71.0,0.0,0.0,0.0,71.0,65.0,71.0,0.282,0.367,0.542,0.909
33,Josh Bell,250.0,73.0,74.0,0.0,0.0,0.0,73.0,0.0,74.0,0.256,0.329,0.462,0.791
34,Brandon Belt,189.0,10.0,63.0,0.0,0.0,0.0,1.0,63.0,63.0,0.247,0.358,0.464,0.822
35,Andrew Benintendi,264.0,66.0,66.0,0.0,0.0,0.0,66.0,0.0,66.0,0.268,0.352,0.429,0.781
36,Jon Berti,94.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.223,0.324,0.336,0.66
37,Mookie Betts,280.0,70.0,70.0,0.0,0.0,0.0,70.0,70.0,69.0,0.297,0.396,0.537,0.933
38,Bo Bichette,144.0,36.0,36.0,0.0,0.0,0.0,35.0,0.0,36.0,0.294,0.338,0.52,0.858
39,Cavan Biggio,144.0,35.0,36.0,0.0,0.0,0.0,1.0,36.0,36.0,0.219,0.337,0.396,0.732
40,Charlie Blackmon,304.0,75.0,76.0,0.0,0.0,0.0,76.0,1.0,76.0,0.29,0.357,0.489,0.846
41,Xander Bogaerts,296.0,74.0,74.0,0.0,0.0,0.0,74.0,0.0,74.0,0.298,0.365,0.526,0.891
42,Alec Bohm,95.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,24.0,0.247,0.301,0.358,0.659
43,David Bote,150.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.246,0.335,0.42,0.755
44,Bobby Bradley,42.0,7.0,14.0,0.0,0.0,0.0,8.0,0.0,14.0,0.257,0.337,0.55,0.886
45,Michael Brantley,277.0,68.0,69.0,0.0,0.0,0.0,67.0,0.0,1.0,0.324,0.375,0.531,0.906
46,Alex Bregman,266.0,67.0,67.0,0.0,0.0,0.0,67.0,67.0,67.0,0.274,0.377,0.492,0.87
47,Lewis Brinson,144.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,48.0,0.196,0.235,0.322,0.558
48,Seth Brown,44.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,22.0,0.22,0.291,0.459,0.749
49,Kris Bryant,259.0,65.0,65.0,0.0,0.0,0.0,52.0,0.0,65.0,0.268,0.372,0.504,0.876
50,Byron Buxton,102.0,33.0,33.0,0.0,0.0,0.0,33.0,0.0,33.0,0.293,0.339,0.609,0.948
51,Asdrubal Cabrera,260.0,0.0,66.0,0.0,0.0,0.0,66.0,1.0,66.0,0.267,0.337,0.472,0.81
52,Miguel Cabrera,219.0,0.0,55.0,0.0,0.0,0.0,41.0,0.0,55.0,0.244,0.323,0.362,0.684
53,Lorenzo Cain,223.0,55.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,0.268,0.35,0.41,0.76
54,Kole Calhoun,240.0,60.0,60.0,0.0,0.0,0.0,60.0,20.0,60.0,0.223,0.324,0.469,0.793
55,Willie Calhoun,108.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,32.0,0.262,0.305,0.439,0.745
56,Daz Cameron,25.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0,0.205,0.277,0.476,0.753
57,Jeimer Candelario,264.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,0.244,0.323,0.389,0.713
58,Mark Canha,204.0,67.0,68.0,0.0,0.0,0.0,1.0,0.0,68.0,0.253,0.371,0.476,0.847
59,Victor Caratini,150.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.268,0.348,0.4,0.748
60,Dylan Carlson,111.0,2.0,28.0,0.0,0.0,0.0,1.0,0.0,28.0,0.25,0.33,0.412,0.743
61,Matt Carpenter,210.0,41.0,70.0,0.0,0.0,0.0,0.0,57.0,70.0,0.197,0.323,0.364,0.686
62,Curt Casali,110.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,37.0,0.244,0.342,0.414,0.755
63,Nick Castellanos,304.0,76.0,76.0,0.0,0.0,0.0,76.0,0.0,76.0,0.304,0.362,0.541,0.903
64,Harold Castro,105.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.261,0.306,0.31,0.616
65,Jason Castro,87.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.227,0.344,0.462,0.806
66,Willi Castro,87.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.24,0.286,0.375,0.661
67,Jake Cave,129.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,0.228,0.305,0.363,0.669
68,Matt Chapman,295.0,74.0,74.0,0.0,0.0,0.0,74.0,1.0,74.0,0.254,0.342,0.489,0.83
69,Michael Chavis,84.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,27.0,0.239,0.287,0.435,0.722
70,Robinson Chirinos,135.0,0.0,44.0,0.0,0.0,0.0,19.0,0.0,45.0,0.195,0.299,0.358,0.657
71,Jazz Chisholm,300.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,77.0,0.269,0.332,0.466,0.798
72,Ji-Man Choi,141.0,0.0,47.0,0.0,0.0,0.0,5.0,5.0,47.0,0.261,0.356,0.44,0.796
73,Zack Collins,53.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,18.0,0.189,0.315,0.345,0.66
74,Michael Conforto,289.0,71.0,73.0,0.0,0.0,0.0,71.0,69.0,73.0,0.252,0.367,0.422,0.789
75,Willson Contreras,195.0,3.0,65.0,0.0,0.0,0.0,0.0,0.0,65.0,0.264,0.365,0.475,0.841
76,William Contreras,27.0,1.0,9.0,0.0,0.0,0.0,3.0,0.0,9.0,0.277,0.359,0.521,0.88
77,Garrett Cooper,103.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,34.0,0.242,0.326,0.389,0.716
78,Carlos Correa,235.0,58.0,59.0,0.0,0.0,0.0,59.0,0.0,59.0,0.286,0.362,0.492,0.853
79,Brandon Crawford,224.0,32.0,74.0,0.0,0.0,0.0,74.0,0.0,74.0,0.254,0.322,0.454,0.775
80,J.P. Crawford,382.0,96.0,95.0,0.0,0.0,0.0,0.0,5.0,96.0,0.268,0.331,0.363,0.694
81,C.J. Cron,258.0,0.0,85.0,0.0,0.0,0.0,81.0,5.0,86.0,0.275,0.378,0.516,0.895
82,Jake Cronenworth,122.0,31.0,31.0,0.0,0.0,0.0,0.0,1.0,31.0,0.308,0.373,0.53,0.902
83,Nelson Cruz,275.0,69.0,69.0,0.0,0.0,0.0,69.0,0.0,69.0,0.292,0.369,0.583,0.952
84,Charlie Culberson,96.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,48.0,0.282,0.32,0.517,0.837
85,Bobby Dalbec,72.0,0.0,24.0,0.0,0.0,0.0,23.0,0.0,24.0,0.21,0.264,0.394,0.658
86,J.D. Davis,86.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,42.0,0.311,0.414,0.479,0.893
87,Khris Davis,215.0,51.0,54.0,0.0,0.0,0.0,53.0,0.0,54.0,0.22,0.299,0.438,0.737
88,Yonathan Daza,69.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.273,0.308,0.338,0.647
89,Paul DeJong,259.0,55.0,65.0,0.0,0.0,0.0,65.0,0.0,65.0,0.231,0.32,0.434,0.753
90,Rafael Devers,296.0,74.0,74.0,0.0,0.0,0.0,74.0,0.0,74.0,0.266,0.328,0.49,0.817
91,Aledmys Diaz,135.0,0.0,45.0,0.0,0.0,0.0,19.0,0.0,0.0,0.249,0.295,0.433,0.728
92,Elias Diaz,145.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,47.0,0.243,0.298,0.359,0.658
93,Lewin Diaz,27.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.155,0.189,0.377,0.566
94,Yandy Diaz,130.0,42.0,43.0,0.0,0.0,0.0,0.0,43.0,43.0,0.264,0.376,0.381,0.757
95,Alex Dickerson,105.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.257,0.322,0.487,0.809
96,Corey Dickerson,220.0,2.0,57.0,0.0,0.0,0.0,1.0,0.0,57.0,0.288,0.338,0.458,0.796
97,Wilmer Difo,137.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,48.0,0.242,0.305,0.37,0.675
98,Josh Donaldson,168.0,56.0,56.0,0.0,0.0,0.0,55.0,56.0,56.0,0.252,0.364,0.468,0.832
99,Hunter Dozier,259.0,1.0,65.0,0.0,0.0,0.0,1.0,0.0,65.0,0.23,0.311,0.416,0.727
100,Matt Duffy,126.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,0.275,0.346,0.351,0.697
101,Steven Duggar,111.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,0.256,0.308,0.411,0.719
102,Adam Duvall,174.0,1.0,58.0,0.0,0.0,0.0,58.0,0.0,58.0,0.223,0.278,0.477,0.754
103,Jarrod Dyson,149.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.228,0.315,0.34,0.654
104,Tommy Edman,184.0,44.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.265,0.315,0.407,0.722
105,Adam Engel,141.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,0.227,0.28,0.358,0.639
106,Alcides Escobar,132.0,11.0,33.0,0.0,0.0,0.0,0.0,0.0,32.0,0.254,0.308,0.348,0.656
107,Eduardo Escobar,308.0,76.0,77.0,0.0,0.0,0.0,77.0,0.0,77.0,0.255,0.311,0.481,0.792
108,Santiago Espinal,36.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.352,0.405,0.758
109,Kyle Farmer,98.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.218,0.285,0.353,0.638
110,David Fletcher,264.0,65.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.333,0.374,0.707
111,Wilmer Flores,186.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.315,0.414,0.729
112,Jake Fraley,47.0,0.0,11.0,0.0,0.0,0.0,-1.0,0.0,15.0,0.218,0.361,0.389,0.749
113,Ty France,121.0,1.0,40.0,0.0,0.0,0.0,1.0,0.0,40.0,0.266,0.345,0.421,0.766
114,Wander Franco,47.0,10.0,13.0,0.0,0.0,0.0,9.0,0.0,7.0,0.271,0.32,0.434,0.755
115,Adam Frazier,217.0,71.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,0.269,0.336,0.395,0.731
116,Clint Frazier,86.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,29.0,0.255,0.346,0.458,0.803
117,Freddie Freeman,324.0,81.0,81.0,0.0,0.0,0.0,80.0,79.0,81.0,0.289,0.399,0.522,0.921
118,Joey Gallo,195.0,65.0,65.0,0.0,0.0,0.0,65.0,65.0,66.0,0.224,0.358,0.485,0.842
119,Freddy Galvis,276.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,69.0,0.253,0.308,0.412,0.72
120,Ben Gamel,180.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.233,0.315,0.368,0.683
121,Adolis Garcia,104.0,26.0,26.0,0.0,0.0,0.0,26.0,0.0,26.0,0.255,0.292,0.507,0.8
122,Avisail Garcia,244.0,1.0,61.0,0.0,0.0,0.0,61.0,0.0,61.0,0.257,0.315,0.43,0.745
123,Leury Garcia,220.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,55.0,0.261,0.302,0.356,0.659
124,Luis Garcia,52.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,17.0,0.218,0.274,0.365,0.639
125,Brett Gardner,213.0,71.0,71.0,0.0,0.0,0.0,1.0,0.0,70.0,0.219,0.317,0.36,0.677
126,Kyle Garlick,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.221,0.26,0.384,0.644
127,Dustin Garneau,23.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,11.0,0.236,0.32,0.496,0.815
128,Mitch Garver,129.0,43.0,43.0,0.0,0.0,0.0,43.0,0.0,43.0,0.25,0.326,0.492,0.818
129,Andres Gimenez,53.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.195,0.25,0.316,0.566
130,Paul Goldschmidt,324.0,81.0,81.0,0.0,0.0,0.0,81.0,0.0,81.0,0.269,0.358,0.47,0.829
131,Yan Gomes,158.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.245,0.307,0.403,0.71
132,Marwin Gonzalez,187.0,1.0,61.0,0.0,0.0,0.0,1.0,0.0,61.0,0.231,0.316,0.357,0.673
133,Niko Goodrum,228.0,4.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,0.231,0.312,0.41,0.722
134,Brian Goodwin,150.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.269,0.354,0.462,0.815
135,Nick Gordon,33.0,2.0,9.0,1.0,0.0,0.0,1.0,1.0,12.0,0.232,0.291,0.321,0.613
136,Yasmani Grandal,195.0,64.0,59.0,0.0,0.0,0.0,64.0,65.0,65.0,0.223,0.363,0.413,0.775
137,Didi Gregorius,228.0,57.0,57.0,0.0,0.0,0.0,57.0,0.0,57.0,0.275,0.327,0.491,0.818
138,Randal Grichuk,288.0,70.0,72.0,0.0,0.0,0.0,72.0,0.0,72.0,0.25,0.306,0.452,0.758
139,Trent Grisham,111.0,37.0,37.0,0.0,0.0,0.0,1.0,1.0,37.0,0.271,0.362,0.493,0.855
140,Robbie Grossman,216.0,0.0,72.0,0.0,0.0,0.0,0.0,71.0,72.0,0.238,0.357,0.385,0.742
141,Luis Guillorme,54.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.386,0.322,0.708
142,Kelvin Gutierrez,51.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.246,0.288,0.316,0.604
143,Eric Haase,58.0,0.0,19.0,0.0,0.0,0.0,18.0,0.0,18.0,0.229,0.283,0.471,0.754
144,Sam Haggerty,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.119,0.149,0.177,0.326
145,Billy Hamilton,151.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,56.0,0.187,0.258,0.23,0.488
146,Garrett Hampson,149.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,50.0,0.231,0.287,0.363,0.65
147,Mitch Haniger,228.0,57.0,57.0,0.0,0.0,0.0,57.0,0.0,57.0,0.27,0.34,0.525,0.865
148,Ian Happ,182.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,0.222,0.339,0.42,0.759
149,Bryce Harper,312.0,77.0,78.0,0.0,0.0,0.0,78.0,77.0,78.0,0.258,0.398,0.524,0.922
150,Josh Harrison,138.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.265,0.326,0.391,0.717
151,Ke'Bryan Hayes,227.0,0.0,59.0,0.0,0.0,0.0,3.0,0.0,50.0,0.256,0.33,0.386,0.717
152,Austin Hays,111.0,27.0,28.0,0.0,0.0,0.0,1.0,0.0,28.0,0.236,0.299,0.396,0.694
153,Austin Hedges,144.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.18,0.241,0.33,0.57
154,Jonah Heim,45.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,14.0,0.198,0.256,0.369,0.625
155,Guillermo Heredia,156.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,52.0,0.245,0.346,0.394,0.74
156,Cesar Hernandez,320.0,79.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,0.255,0.344,0.382,0.725
157,Enrique Hernandez,207.0,1.0,69.0,0.0,0.0,0.0,1.0,0.0,69.0,0.239,0.307,0.44,0.748
158,Teoscar Hernandez,272.0,68.0,68.0,0.0,0.0,0.0,68.0,1.0,68.0,0.255,0.313,0.466,0.779
159,Odubel Herrera,188.0,1.0,47.0,0.0,0.0,0.0,1.0,0.0,47.0,0.27,0.327,0.421,0.748
160,Jason Heyward,195.0,3.0,65.0,0.0,0.0,0.0,1.0,1.0,65.0,0.252,0.332,0.413,0.745
161,Aaron Hicks,129.0,42.0,43.0,0.0,0.0,0.0,39.0,42.0,43.0,0.224,0.353,0.408,0.761
162,Kyle Higashioka,60.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.212,0.264,0.469,0.732
163,Sam Hilliard,66.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.2,0.276,0.472,0.748
164,Nico Hoerner,51.0,1.0,16.0,0.0,0.0,0.0,1.0,0.0,12.0,0.285,0.357,0.372,0.729
165,Brock Holt,141.0,0.0,47.0,0.0,0.0,0.0,1.0,0.0,46.0,0.265,0.359,0.359,0.718
166,Rhys Hoskins,280.0,70.0,70.0,0.0,0.0,0.0,70.0,66.0,70.0,0.264,0.374,0.524,0.898
167,Eric Hosmer,304.0,0.0,76.0,0.0,0.0,0.0,76.0,0.0,76.0,0.279,0.342,0.454,0.796
168,Jose Iglesias,272.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,2.0,0.285,0.319,0.405,0.724
169,Jonathan India,91.0,23.0,23.0,0.0,0.0,0.0,0.0,9.0,23.0,0.268,0.383,0.428,0.811
170,Alex Jackson,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.108,0.222,0.189,0.411
171,Travis Jankowski,73.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,35.0,0.26,0.346,0.335,0.681
172,Danny Jansen,114.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,38.0,0.171,0.261,0.276,0.537
173,Ryan Jeffers,51.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.208,0.282,0.4,0.682
174,Eloy Jimenez,140.0,34.0,35.0,0.0,0.0,0.0,35.0,0.0,35.0,0.264,0.306,0.52,0.826
175,Connor Joe,46.0,11.0,13.0,0.0,0.0,2.0,13.0,8.0,14.0,0.237,0.284,0.45,0.733
176,Jahmai Jones,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.136,0.186,0.19,0.376
177,Aaron Judge,236.0,59.0,59.0,0.0,0.0,0.0,59.0,59.0,59.0,0.285,0.392,0.54,0.932
178,Jarred Kelenic,55.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,14.0,0.137,0.224,0.242,0.467
179,Carson Kelly,123.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,41.0,0.258,0.353,0.464,0.818
180,Tony Kemp,119.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.345,0.364,0.709
181,Max Kepler,275.0,69.0,69.0,0.0,0.0,0.0,62.0,1.0,69.0,0.241,0.324,0.473,0.797
182,Carter Kieboom,49.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0,16.0,0.228,0.359,0.318,0.677
183,Kevin Kiermaier,177.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,59.0,0.22,0.279,0.354,0.633
184,Isiah Kiner-Falefa,236.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,59.0,0.264,0.322,0.379,0.701
185,Alex Kirilloff,36.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,9.0,0.267,0.308,0.441,0.749
186,Alejandro Kirk,33.0,1.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.239,0.323,0.417,0.74
187,Andrew Knapp,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.219,0.317,0.317,0.634
188,Andrew Knizner,41.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,14.0,0.219,0.296,0.309,0.605
189,Juan Lagares,97.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,0.23,0.278,0.331,0.609
190,Tommy La Stella,147.0,3.0,42.0,0.0,0.0,2.0,5.0,0.0,5.0,0.249,0.319,0.397,0.717
191,Ramon Laureano,148.0,47.0,47.0,0.0,0.0,0.0,1.0,0.0,47.0,0.259,0.329,0.443,0.772
192,Sandy Leon,120.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.196,0.257,0.28,0.537
