,name,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
243,Josh Naylor,93.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.243,0.284,0.374,0.658
244,Kevin Newman,210.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0,0.244,0.288,0.326,0.614
245,Tomas Nido,69.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.212,0.254,0.343,0.597
246,Brandon Nimmo,162.0,53.0,54.0,0.0,0.0,0.0,0.0,54.0,54.0,0.259,0.399,0.448,0.848
247,Austin Nola,82.0,0.0,28.0,0.0,0.0,0.0,26.0,0.0,24.0,0.269,0.36,0.416,0.776
248,Dom Nunez,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.176,0.273,0.406,0.679
249,Rougned Odor,251.0,62.0,63.0,0.0,0.0,0.0,63.0,0.0,63.0,0.2,0.273,0.37,0.643
250,Ryan O'Hearn,145.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.224,0.26,0.405,0.665
251,Matt Olson,304.0,75.0,76.0,0.0,0.0,0.0,76.0,0.0,76.0,0.244,0.338,0.476,0.814
252,Tyler O'Neill,249.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,83.0,0.271,0.338,0.509,0.847
253,Rafael Ortega,82.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.249,0.313,0.374,0.688
254,Marcell Ozuna,232.0,58.0,58.0,0.0,0.0,0.0,58.0,1.0,58.0,0.27,0.338,0.485,0.823
255,Isaac Paredes,28.0,1.0,7.0,1.0,0.0,0.0,0.0,2.0,9.0,0.211,0.29,0.317,0.606
256,Gerardo Parra,140.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,34.0,0.229,0.3,0.345,0.646
257,Joc Pederson,216.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,0.24,0.335,0.478,0.813
