,name,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
266,Daniel Norris,0.0,0.0,5.969,19.8,21.0,12.0,0.0,7.0,25.0,1.56
267,Bailey Ober,0.0,1.0,3.963,16.7,17.0,2.0,2.0,2.0,18.0,1.27
268,Darren O'Day,0.0,0.0,2.937,8.0,8.0,8.0,0.0,8.0,0.0,1.12
269,Jake Odorizzi,1.0,0.0,4.132,67.8,57.0,28.0,13.0,28.0,70.0,1.23
270,Steven Okert,0.0,0.0,2.097,6.4,6.0,0.0,0.0,3.0,8.0,0.99
271,Corey Oswalt,0.0,0.0,7.387,10.8,16.0,13.0,2.0,5.0,9.0,1.46
272,Adam Ottavino,0.0,0.0,2.504,29.6,37.0,0.0,0.0,0.0,37.0,1.2
273,Chris Paddack,0.0,0.0,3.784,49.2,48.0,20.0,9.0,10.0,49.0,1.14
274,Emilio Pagan,0.0,0.0,3.104,29.0,32.0,0.0,0.0,0.0,32.0,1.03
275,Blake Parker,0.0,0.0,3.047,26.2,29.0,0.0,0.0,0.0,29.0,1.26
276,Luis Patino,1.0,1.0,4.862,26.2,27.0,17.0,5.0,11.0,27.0,1.24
277,Nate Pearson,0.0,0.0,4.103,3.0,-4.0,-3.0,0.0,2.0,3.0,1.57
278,Freddy Peralta,0.0,0.0,4.227,49.6,34.0,23.0,1.0,22.0,66.0,1.27
279,Wandy Peralta,0.0,0.0,4.237,20.3,29.0,1.0,0.0,0.0,29.0,1.48
280,Wily Peralta,0.0,0.0,5.874,18.3,17.0,15.0,1.0,16.0,16.0,1.57
281,Martin Perez,0.0,0.0,4.646,77.5,85.0,48.0,16.0,32.0,64.0,1.47
282,David Peterson,0.0,2.0,4.26,16.8,16.0,10.0,4.0,10.0,13.0,1.25
283,Dillon Peters,0.0,0.0,4.926,18.7,24.0,14.0,5.0,7.0,16.0,1.7
284,Yusmeiro Petit,0.0,0.0,2.754,39.0,39.0,0.0,0.0,0.0,39.0,1.0
285,David Phelps,0.0,0.0,5.647,5.8,14.0,13.0,2.0,1.0,12.0,1.24
286,Michael Pineda,0.0,0.0,3.955,44.2,39.0,16.0,8.0,8.0,41.0,1.15
287,Nick Pivetta,0.0,0.0,4.941,63.5,64.0,33.0,15.0,30.0,75.0,1.38
288,Zach Plesac,1.0,0.0,3.568,52.2,43.0,17.0,8.0,14.0,36.0,1.06
289,Drew Pomeranz,0.0,0.0,1.686,19.0,18.0,1.0,0.0,18.0,36.0,1.04
290,Cody Poteet,2.0,0.0,0.37,12.3,5.0,-1.0,0.0,-1.0,6.0,0.51
291,Ryan Pressly,0.0,0.0,2.335,29.6,33.0,0.0,0.0,0.0,33.0,1.15
292,David Price,0.0,0.0,4.046,33.9,42.0,14.0,0.0,14.0,38.0,1.55
293,Cal Quantrill,0.0,0.0,3.677,45.4,46.0,24.0,5.0,13.0,42.0,1.32
294,Tanner Rainey,0.0,0.0,5.167,14.7,18.0,18.0,0.0,18.0,19.0,1.45
295,Noe Ramirez,0.0,0.0,3.615,27.0,27.0,27.0,0.0,0.0,27.0,1.39
296,Yohan Ramirez,0.0,0.0,4.227,8.8,7.0,2.0,0.0,7.0,15.0,0.97
297,Drew Rasmussen,0.0,0.0,3.777,12.5,11.0,5.0,-1.0,7.0,15.0,1.4
298,Robbie Ray,0.0,0.0,3.945,84.4,80.0,33.0,16.0,32.0,114.0,1.31
299,Garrett Richards,0.0,0.0,5.224,41.0,43.0,22.0,10.0,19.0,44.0,1.56
300,Trevor Richards,0.0,0.0,4.242,37.7,32.0,18.0,0.0,16.0,46.0,1.17
301,David Robertson,0.0,0.0,8.064,10.2,14.0,0.0,0.0,14.0,14.0,2.87
302,Hansel Robles,0.0,0.0,4.184,30.3,33.0,0.0,0.0,0.0,33.0,1.27
303,Richard Rodriguez,0.0,0.0,2.659,30.7,33.0,0.0,0.0,0.0,34.0,0.93
304,Carlos Rodon,1.0,0.0,3.319,46.5,36.0,20.0,5.0,18.0,54.0,1.06
305,Eduardo Rodriguez,13.0,0.0,4.671,73.9,72.0,32.0,14.0,27.0,83.0,1.34
306,Joely Rodriguez,0.0,0.0,5.392,7.8,10.0,0.0,0.0,0.0,10.0,1.47
307,Taylor Rogers,0.0,0.0,3.072,26.2,29.0,0.0,0.0,0.0,29.0,1.14
308,Trevor Rogers,0.0,1.0,3.214,22.3,28.0,9.0,0.0,12.0,24.0,1.28
309,Tyler Rogers,0.0,0.0,3.705,17.2,19.0,0.0,0.0,0.0,19.0,1.13
310,Jordan Romano,0.0,0.0,2.281,13.3,15.0,1.0,0.0,1.0,15.0,1.19
311,Sergio Romo,0.0,0.0,5.42,28.0,35.0,0.0,0.0,0.0,35.0,1.38
312,Joe Ross,0.0,1.0,8.379,32.6,32.0,16.0,9.0,15.0,28.0,1.33
313,Jose Ruiz,0.0,0.0,5.179,15.3,17.0,0.0,0.0,0.0,17.0,1.52
314,Joe Ryan,2.0,0.0,3.66,7.1,5.0,3.0,0.0,2.0,18.0,0.89
315,Casey Sadler,0.0,0.0,2.139,16.2,15.0,0.0,0.0,2.0,15.0,1.28
316,Chris Sale,0.0,0.0,3.874,57.3,40.0,19.0,9.0,12.0,89.0,1.05
317,Adrian Sampson,0.0,0.0,4.37,24.9,42.0,25.0,8.0,8.0,23.0,1.53
318,Patrick Sandoval,0.0,0.0,4.328,23.3,23.0,13.0,6.0,12.0,22.0,1.4
319,Dennis Santana,0.0,0.0,5.0,11.0,11.0,10.0,0.0,11.0,11.0,1.61
320,Edgar Santana,0.0,0.0,3.768,15.4,17.0,0.0,0.0,0.0,17.0,1.13
321,Ervin Santana,0.0,0.0,4.814,13.9,14.0,7.0,4.0,7.0,12.0,1.22
322,Hector Santiago,0.0,0.0,5.215,23.3,26.0,13.0,0.0,13.0,26.0,1.64
323,Tony Santillan,0.0,0.0,2.828,5.5,3.0,0.0,0.0,3.0,6.0,1.3
324,Hirokazu Sawamura,0.0,0.0,2.828,7.0,9.0,0.0,0.0,9.0,9.0,1.29
325,Max Scherzer,1.0,0.0,2.585,99.1,78.0,31.0,16.0,19.0,141.0,0.96
326,Tanner Scott,0.0,0.0,3.529,17.9,26.0,0.0,0.0,26.0,26.0,1.53
327,Antonio Senzatela,0.0,0.0,5.115,72.2,84.0,41.0,14.0,28.0,45.0,1.45
328,Paul Sewald,0.0,0.0,3.808,20.0,20.0,20.0,0.0,0.0,20.0,1.11
329,Bryan Shaw,0.0,0.0,3.949,29.7,33.0,30.0,0.0,0.0,33.0,1.35
330,Jimmie Sherfy,0.0,0.0,1.199,7.2,6.0,0.0,0.0,4.0,8.0,1.18
331,Chasen Shreve,0.0,0.0,3.02,16.9,21.0,0.0,0.0,4.0,21.0,1.25
332,Brady Singer,0.0,0.0,4.5,27.2,32.0,18.0,0.0,12.0,30.0,1.42
333,Tarik Skubal,0.0,2.0,4.938,30.2,25.0,14.0,7.0,12.0,34.0,1.31
334,Caleb Smith,0.0,0.0,3.798,64.8,52.0,29.0,15.0,29.0,77.0,1.27
335,Joe Smith,0.0,0.0,5.018,14.7,21.0,0.0,0.0,0.0,21.0,1.37
336,Will Smith,0.0,0.0,2.912,27.9,31.0,0.0,0.0,0.0,31.0,0.98
337,Drew Smyly,0.0,0.0,5.661,44.8,49.0,29.0,10.0,20.0,51.0,1.48
338,Blake Snell,0.0,0.0,3.454,65.0,55.0,28.0,14.0,28.0,92.0,1.26
339,Joakim Soria,0.0,0.0,4.338,27.0,30.0,1.0,0.0,0.0,30.0,1.35
340,Gregory Soto,0.0,0.0,4.265,19.5,19.0,5.0,0.0,18.0,19.0,1.39
341,Jeffrey Springs,0.0,0.0,3.544,18.1,16.0,16.0,0.0,16.0,18.0,1.29
342,Craig Stammen,0.0,0.0,3.081,36.1,36.0,1.0,0.0,0.0,36.0,1.02
343,Ryne Stanek,0.0,0.0,3.35,30.9,31.0,1.0,0.0,31.0,31.0,1.12
344,Josh Staumont,0.0,0.0,2.522,14.6,16.0,0.0,0.0,0.0,16.0,1.16
345,Drew Steckenrider,0.0,0.0,4.165,21.0,23.0,0.0,0.0,0.0,23.0,1.21
346,Robert Stephenson,0.0,0.0,4.951,17.6,18.0,18.0,0.0,0.0,18.0,1.35
347,Kohl Stewart,0.0,0.0,4.613,-4.4,2.0,4.0,-2.0,1.0,1.0,1.29
348,Stephen Strasburg,9.0,0.0,3.705,61.4,51.0,21.0,10.0,20.0,72.0,1.09
349,Chris Stratton,0.0,0.0,4.575,48.6,47.0,24.0,0.0,24.0,48.0,1.39
350,Hunter Strickland,0.0,0.0,3.45,18.9,21.0,2.0,0.0,0.0,21.0,1.21
351,Ross Stripling,0.0,0.0,4.771,60.6,66.0,32.0,16.0,16.0,66.0,1.35
352,Marcus Stroman,0.0,0.0,2.85,70.8,67.0,26.0,13.0,25.0,65.0,1.2
353,Jose Suarez,1.0,3.0,6.914,29.0,38.0,25.0,7.0,14.0,25.0,1.7
354,Ranger Suarez,0.0,0.0,1.968,13.8,11.0,0.0,0.0,0.0,13.0,1.0
355,Cole Sulser,0.0,0.0,3.221,11.6,13.0,1.0,0.0,12.0,13.0,1.13
356,Brent Suter,0.0,0.0,3.311,28.8,30.0,15.0,0.0,0.0,31.0,1.21
357,Erik Swanson,0.0,0.0,3.258,10.3,9.0,0.0,0.0,0.0,12.0,0.93
358,Jameson Taillon,0.0,0.0,4.268,60.2,56.0,22.0,11.0,12.0,55.0,1.2
359,Dillon Tate,0.0,0.0,4.359,13.2,14.0,12.0,0.0,0.0,14.0,1.11
360,Josh Taylor,0.0,0.0,5.061,13.3,18.0,0.0,0.0,0.0,19.0,1.56
361,Ryan Tepera,0.0,0.0,3.833,23.6,26.0,0.0,0.0,0.0,27.0,1.15
362,Caleb Thielbar,0.0,0.0,4.18,11.5,13.0,1.0,0.0,0.0,13.0,1.31
363,Ryan Thompson,0.0,0.0,2.997,8.0,10.0,0.0,0.0,0.0,10.0,1.27
364,Lewis Thorpe,3.0,1.0,4.353,8.0,10.0,6.0,0.0,6.0,14.0,1.3
365,Josh Tomlin,0.0,0.0,4.581,36.0,43.0,21.0,0.0,0.0,22.0,1.19
366,Blake Treinen,0.0,0.0,2.294,33.8,34.0,0.0,0.0,0.0,34.0,1.21
367,Lou Trivino,0.0,0.0,2.607,30.9,34.0,0.0,0.0,1.0,34.0,1.09
368,Spencer Turnbull,0.0,1.0,3.529,43.4,44.0,19.0,1.0,18.0,44.0,1.33
369,Jose Urena,0.0,0.0,5.005,59.2,64.0,26.0,13.0,25.0,40.0,1.41
370,Julio Urias,1.0,0.0,3.321,56.0,45.0,21.0,8.0,14.0,61.0,1.05
371,Jose Urquidy,1.0,0.0,3.827,30.5,22.0,9.0,5.0,5.0,32.0,1.11
372,Framber Valdez,0.0,0.0,3.568,48.2,45.0,23.0,1.0,22.0,46.0,1.29
373,Phillips Valdez,0.0,0.0,2.973,11.0,9.0,0.0,0.0,0.0,10.0,0.8
374,Nick Vincent,0.0,0.0,4.091,18.9,19.0,17.0,0.0,0.0,19.0,1.29
375,Austin Voth,0.0,1.0,4.41,26.6,27.0,14.0,5.0,11.0,26.0,1.29
376,Michael Wacha,0.0,0.0,4.471,55.2,61.0,26.0,13.0,25.0,52.0,1.41
377,Adam Wainwright,1.0,0.0,4.338,75.7,76.0,27.0,13.0,27.0,66.0,1.3
378,Taijuan Walker,0.0,1.0,3.337,32.9,28.0,13.0,7.0,16.0,32.0,1.21
379,Tony Watson,0.0,0.0,2.938,25.8,33.0,1.0,0.0,0.0,32.0,1.14
380,Luke Weaver,0.0,1.0,4.535,54.2,56.0,23.0,10.0,17.0,56.0,1.24
381,Jacob Webb,0.0,0.0,3.377,10.7,12.0,0.0,0.0,0.0,12.0,1.37
382,Logan Webb,0.0,0.0,4.12,39.8,40.0,18.0,4.0,15.0,40.0,1.34
383,J.B. Wendelken,0.0,0.0,4.438,26.7,28.0,23.0,0.0,0.0,24.0,1.57
384,Zack Wheeler,0.0,0.0,3.558,100.7,96.0,32.0,14.0,31.0,97.0,1.18
385,Garrett Whitlock,0.0,0.0,1.526,10.2,9.0,0.0,0.0,0.0,13.0,1.09
386,Rowan Wick,0.0,0.0,3.272,10.5,12.0,0.0,0.0,0.0,13.0,1.37
387,Taylor Widener,0.0,0.0,3.448,16.4,16.0,5.0,4.0,7.0,14.0,1.28
388,Brad Wieck,0.0,0.0,4.565,7.4,10.0,1.0,0.0,0.0,10.0,1.18
389,Devin Williams,0.0,0.0,3.354,13.7,14.0,0.0,0.0,1.0,28.0,1.42
390,Trevor Williams,0.0,0.0,4.641,71.6,69.0,41.0,14.0,28.0,60.0,1.37
391,Bryse Wilson,1.0,2.0,6.862,18.2,22.0,13.0,4.0,8.0,15.0,1.85
392,Justin Wilson,0.0,0.0,3.634,19.9,28.0,0.0,0.0,0.0,28.0,1.41
393,Matt Wisler,0.0,0.0,6.086,22.0,20.0,19.0,0.0,0.0,20.0,1.41
394,Nick Wittgren,0.0,0.0,4.133,23.4,26.0,0.0,0.0,0.0,25.0,1.16
395,Alex Wood,0.0,0.0,3.76,54.6,54.0,23.0,10.0,15.0,51.0,1.19
396,Brandon Woodruff,2.0,0.0,2.98,77.4,57.0,26.0,13.0,17.0,96.0,1.02
397,Ryan Yarbrough,0.0,0.0,4.162,79.9,70.0,34.0,17.0,17.0,69.0,1.13
398,Huascar Ynoa,0.0,1.0,3.432,23.6,17.0,10.0,3.0,9.0,20.0,1.16
399,Bruce Zimmermann,35.0,-58.0,11.213,93.6,54.0,-35.0,-68.0,-147.0,229.0,1.18
400,Kyle Zimmer,0.0,0.0,3.44,12.8,13.0,13.0,0.0,13.0,13.0,1.23
401,Luis Gil,0.0,0.0,1.03,11.4,9.0,1.0,4.0,-12.0,18.0,0.33
402,Zach Thompson,0.0,0.0,2.675,9.8,9.0,4.0,0.0,4.0,11.0,1.12
403,Paolo Espino,0.0,1.0,2.872,11.7,10.0,5.0,1.0,1.0,8.0,0.91
404,Spencer Patton,0.0,0.0,3.516,7.0,7.0,1.0,0.0,7.0,7.0,1.25
405,Anthony Bender,0.0,0.0,2.993,9.8,8.0,3.0,0.0,0.0,12.0,1.01
406,Kyle Finnegan,0.0,0.0,3.223,11.5,13.0,0.0,0.0,0.0,14.0,1.38
