,name,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
38,Archie Bradley,0.0,0.0,3.611,28.8,32.0,0.0,0.0,1.0,32.0,1.45
39,Ryan Brasier,0.0,0.0,3.905,17.1,21.0,0.0,0.0,0.0,21.0,1.22
40,Steven Brault,0.0,0.0,5.164,33.5,36.0,17.0,0.0,21.0,30.0,1.5
41,Rex Brothers,0.0,0.0,4.533,7.9,10.0,8.0,0.0,9.0,18.0,1.35
42,JT Brubaker,0.0,2.0,6.533,25.4,29.0,21.0,3.0,13.0,29.0,1.44
43,Kris Bubic,0.0,0.0,5.485,26.7,26.0,13.0,7.0,12.0,25.0,1.56
44,Walker Buehler,0.0,0.0,3.555,86.4,61.0,30.0,15.0,15.0,90.0,1.02
45,Madison Bumgarner,0.0,0.0,5.685,75.6,70.0,41.0,14.0,17.0,71.0,1.34
46,Aaron Bummer,0.0,0.0,2.874,20.0,25.0,0.0,0.0,1.0,25.0,1.39
47,Dylan Bundy,0.0,0.0,4.872,83.1,76.0,45.0,15.0,29.0,88.0,1.24
48,Corbin Burnes,1.0,0.0,2.43,71.1,59.0,21.0,0.0,17.0,108.0,0.91
49,Edward Cabrera,0.0,5.0,2.725,9.9,16.0,-6.0,-3.0,5.0,22.0,1.61
50,Genesis Cabrera,0.0,0.0,3.575,14.1,15.0,0.0,0.0,15.0,16.0,1.24
51,Trevor Cahill,0.0,0.0,4.155,40.9,35.0,20.0,11.0,12.0,39.0,1.26
52,Carlos Carrasco,0.0,1.0,4.658,56.4,60.0,24.0,11.0,18.0,76.0,1.37
53,Diego Castillo,0.0,0.0,2.737,29.1,29.0,0.0,0.0,0.0,30.0,1.07
54,Luis Castillo,0.0,0.0,4.536,93.8,84.0,36.0,16.0,34.0,103.0,1.34
55,Miguel Castro,0.0,0.0,4.154,34.0,34.0,33.0,0.0,34.0,34.0,1.43
56,Dylan Cease,0.0,1.0,5.404,44.5,45.0,28.0,10.0,19.0,54.0,1.5
57,Luis Cessa,0.0,0.0,3.155,30.2,36.0,20.0,0.0,19.0,20.0,1.25
58,Jhoulys Chacin,0.0,0.0,4.964,44.4,42.0,22.0,0.0,17.0,42.0,1.48
59,Andrew Chafin,0.0,0.0,3.184,18.0,36.0,0.0,0.0,0.0,36.0,1.32
60,Aroldis Chapman,0.0,0.0,2.191,26.0,28.0,0.0,0.0,0.0,56.0,1.0
61,Jesse Chavez,0.0,0.0,5.011,35.8,27.0,23.0,0.0,0.0,29.0,1.4
62,Adam Cimber,0.0,0.0,3.055,27.1,34.0,1.0,0.0,0.0,34.0,1.11
63,Steve Cishek,0.0,0.0,3.677,26.1,37.0,0.0,0.0,0.0,37.0,1.31
64,Jose Cisnero,0.0,0.0,3.619,16.2,20.0,1.0,0.0,0.0,20.0,1.28
65,Aaron Civale,6.0,0.0,3.12,44.1,41.0,20.0,7.0,12.0,36.0,1.0
66,Emmanuel Clase,0.0,0.0,1.585,12.6,14.0,0.0,0.0,0.0,14.0,1.1
67,Tyler Clippard,0.0,0.0,2.73,24.1,27.0,0.0,0.0,0.0,27.0,0.94
68,Alex Cobb,0.0,2.0,5.672,43.8,46.0,27.0,10.0,17.0,35.0,1.49
69,Kyle Cody,-1.0,2.0,5.52,0.3,-1.0,0.0,0.0,5.0,4.0,1.62
70,Gerrit Cole,16.0,0.0,2.676,105.5,69.0,33.0,16.0,33.0,153.0,0.92
71,Alex Colome,0.0,0.0,3.844,29.7,33.0,0.0,0.0,0.0,33.0,1.32
72,Adam Conley,0.0,0.0,6.11,17.6,20.0,20.0,0.0,0.0,20.0,1.59
73,Patrick Corbin,0.0,0.0,3.928,100.8,85.0,34.0,17.0,34.0,120.0,1.16
74,Nestor Cortes,0.0,0.0,3.492,21.1,19.0,9.0,0.0,9.0,20.0,1.25
75,Jharel Cotton,0.0,0.0,4.745,4.2,8.0,4.0,0.0,3.0,7.0,1.79
76,Garrett Crochet,0.0,0.0,2.71,7.8,9.0,0.0,0.0,0.0,9.0,1.32
77,Johnny Cueto,1.0,0.0,3.4,43.8,49.0,23.0,8.0,11.0,42.0,1.17
78,John Curtiss,0.0,0.0,3.935,12.1,11.0,0.0,0.0,0.0,11.0,1.22
79,Yu Darvish,1.0,0.0,3.552,77.6,65.0,25.0,12.0,21.0,95.0,1.16
80,Tucker Davidson,0.0,0.0,1.14,4.2,1.0,-1.0,0.0,4.0,4.0,0.79
81,Zach Davies,0.0,0.0,3.877,70.8,70.0,27.0,13.0,28.0,53.0,1.38
82,Wade Davis,0.0,0.0,4.645,22.6,25.0,24.0,0.0,0.0,25.0,1.33
83,Grant Dayton,0.0,0.0,3.911,8.2,7.0,0.0,0.0,4.0,7.0,1.11
84,Jacob deGrom,0.0,0.0,1.776,91.9,69.0,28.0,10.0,15.0,119.0,0.97
85,Chase De Jong,0.0,0.0,5.59,30.0,24.0,30.0,12.0,18.0,18.0,1.53
86,Enyel De Los Santos,0.0,0.0,7.713,17.6,22.0,20.0,0.0,20.0,31.0,1.86
87,Anthony DeSclafani,0.0,1.0,4.022,72.7,72.0,42.0,14.0,27.0,70.0,1.21
88,Ross Detwiler,0.0,0.0,4.906,28.1,33.0,24.0,13.0,13.0,28.0,1.36
89,Edwin Diaz,0.0,0.0,2.923,31.5,35.0,1.0,0.0,0.0,69.0,1.1
90,Jake Diekman,0.0,0.0,3.946,25.3,36.0,0.0,0.0,0.0,36.0,1.37
91,Randy Dobnak,2.0,0.0,6.126,21.6,23.0,11.0,1.0,5.0,15.0,1.15
92,Sean Doolittle,0.0,0.0,3.673,20.8,26.0,0.0,0.0,0.0,26.0,1.3
93,Tyler Duffey,0.0,0.0,3.26,22.7,24.0,0.0,0.0,0.0,25.0,1.19
94,Danny Duffy,1.0,0.0,4.171,61.7,67.0,39.0,12.0,21.0,59.0,1.3
95,Dane Dunning,0.0,1.0,3.94,28.2,29.0,13.0,1.0,11.0,30.0,1.31
96,Justin Dunn,2.0,0.0,4.213,22.3,20.0,11.0,3.0,6.0,14.0,1.29
97,Zach Eflin,2.0,0.0,3.547,68.3,74.0,33.0,12.0,15.0,65.0,1.21
98,Nathan Eovaldi,0.0,0.0,4.898,57.0,62.0,28.0,13.0,13.0,57.0,1.34
99,Carlos Estevez,0.0,0.0,4.356,22.4,25.0,23.0,0.0,1.0,25.0,1.38
100,Jeurys Familia,0.0,0.0,3.765,30.5,34.0,0.0,0.0,33.0,34.0,1.47
101,Erick Fedde,1.0,0.0,4.692,49.6,50.0,24.0,11.0,22.0,37.0,1.44
102,J.P. Feyereisen,0.0,0.0,3.044,30.3,35.0,15.0,0.0,33.0,35.0,1.16
103,Jack Flaherty,1.0,0.0,3.741,74.9,55.0,27.0,14.0,28.0,95.0,1.12
104,Josh Fleming,5.0,0.0,3.742,20.6,21.0,10.0,0.0,6.0,14.0,1.15
105,Chris Flexen,0.0,0.0,3.657,37.0,39.0,15.0,6.0,7.0,27.0,1.33
106,Dylan Floro,0.0,0.0,2.491,27.3,30.0,0.0,0.0,0.0,30.0,1.17
107,Mike Foltynewicz,0.0,0.0,4.332,72.1,65.0,29.0,13.0,26.0,65.0,1.3
